Электроника и оргтехника,16 444,16 055,15 666,15 277,14 889,14 500,14 111,13 722,13 333,12 944,12 555,12 166,,,,0,,,,,
Системы кондиционирования,69 238,68 429,67 619,66 810,66 000,65 191,64 381,63 572,62 762,61 953,61 143,60 334,,,,0,,,,,
Прочий кухонный инвентарь,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,
Не работающее оборудование,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,
Мебель и предметы интерьера,237 017,234 117,231 217,228 317,225 417,232 434,229 450,226 467,223 484,220 500,217 517,214 534,,,,0,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0%,0%,,0%
Оборотные активы,2 239 372,2 292 980,2 620 398,2 204 071,0,0,0,0,0,0,0,0,2 239 372,2 292 980,рост на,53 608,2%,40%,40%,рост на,1%
Запасы,926 814,945 946,684 707,590 500,0,0,0,0,0,0,0,0,926 814,945 946,рост на,19 132,2%,16%,17%,рост на,0%
Товар для перепродажи,19 386,15 159,6 420,13 314,,,,,,,,,19 386,15 159,падение на,-4 228,-22%,0%,0%,падение на,0%
Сырье и материалы,642 906,728 215,519 133,406 520,,,,,,,,,642 906,728 215,рост на,85 308,13%,11%,13%,рост на,1%
Готовая продукция,0,0,0,0,,,,,,,,,0,0,,0,,0%,0%,,0%
Вспомогательные товары,7 914,8 378,7 001,5 276,,,,,,,,,7 914,8 378,рост на,463,6%,0%,0%,рост на,0%
Упаковка,256 607,194 195,152 154,165 390,,,,,,,,,256 607,194 195,падение на,-62 412,-24%,5%,3%,падение на,-1%
,,,,,,,,,,,,,,,,,,,,,
Денежные средства,1 042 768,900 156,552 448,151 849,0,0,0,0,0,0,0,0,1 042 768,900 156,падение на,-142 612,-14%,18%,16%,падение на,-3%
Р/счета,993 297,834 018,483 802,112 731,,,,,,,,,993 297,834 018,падение на,-159 280,-16%,18%,15%,падение на,-3%
Наличные,49 471,66 139,68 646,39 118,,,,,,,,,49 471,66 139,рост на,16 668,34%,1%,1%,рост на,0%
,,,,,,,,,,,,,,,,0,,0%,0%,,0%
Дебиторская задолженность,269 791,446 878,1 383 242,1 461 723,0,0,0,0,0,0,0,0,269 791,446 878,рост на,177 087,66%,5%,8%,рост на,3%
Задолженность клиентов,29 986,134 002,73 727,96 960,,,,,,,,,29 986,134 002,рост на,104 016,347%,1%,2%,рост на,2%
Выданные авансы поставщикам,239 805,212 876,209 515,264 763,,,,,,,,,239 805,212 876,падение на,-26 929,-11%,4%,4%,падение на,0%
Задолженность сотрудников,,,,,,,,,,,,,,,,0,,0%,0%,,0%
Прочая задолженность в нашу пользу,,100 000,1 100 000,1 100 000,,,,,,,,,,100 000,рост на,100 000,,0%,2%,рост на,2%
,,,,,,,,,,,,,,,,0,,0%,0%,,0%
Краткосрочные финансовые вложения,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0%,0%,,0%
Депозиты,,,,,,,,,,,,,,,,0,,0%,0%,,0%
Овернайт,,,,,,,,,,,,,,,,0,,0%,0%,,0%
,,,,,,,,,,,,,,,,0,,0%,0%,,0%
Прочие активы,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0%,0%,,0%
Расходы будущих периодов,,,,,,,,,,,,,,,,0,,0%,0%,,0%
,,,,,,,,,,,,,,,,0,,0%,0%,,0%
Пассивы ↓,5 468 920,5 556 538,5 746 274,5 329 809,4 295 551,4 295 551,4 295 551,4 295 551,4 295 551,4 295 551,4 295 551,4 295 551,5 468 920,5 556 538,рост на,87 618,2%,5 468 920,5 556 538,,
Капитал,3 848 042,4 026 760,4 244 213,4 295 551,4 295 551,4 295 551,4 295 551,4 295 551,4 295 551,4 295 551,4 295 551,4 295 551,3 848 042,4 026 760,рост на,178 718,5%,70%,72%,рост на,2%
Уставный капитал,,,,,,,,,,,,,,,,0,,0%,0%,,0%
Накопленная прибыль/убыток:,673 042,1 021 760,1 456 213,1 557 551,1 557 551,1 557 551,1 557 551,1 557 551,1 557 551,1 557 551,1 557 551,1 557 551,673 042,1 021 760,рост на,348 718,52%,12%,18%,рост на,6%
— прошлых периодов,336 137,673 042,1 021 760,1 456 213,1 557 551,1 557 551,1 557 551,1 557 551,1 557 551,1 557 551,1 557 551,1 557 551,336 137,673 042,рост на,336 905,100%,6%,12%,рост на,6%
— текущих периодов,336 905,348 718,434 453,101 338,,,,,,,,,,,,,,0%,0%,,0%
,,,,,,,,,,,,,,,,0,,0%,0%,,0%
Дивиденды,-2 040 000,-2 210 000,-2 427 000,-2 477 000,-2 477 000,-2 477 000,-2 477 000,-2 477 000,-2 477 000,-2 477 000,-2 477 000,-2 477 000,-2 040 000,-2 210 000,падение на,-170 000,8%,-37%,-40%,падение на,-2%
— прошлых периодов,-1 872 000,-2 040 000,-2 210 000,-2 427 000,-2 477 000,-2 477 000,-2 477 000,-2 477 000,-2 477 000,-2 477 000,-2 477 000,-2 477 000,336 137,673 042,рост на,336 905,100%,6%,12%,рост на,6%
— текущих периодов,-168 000,-170 000,-217 000,-50 000,,,,,,,,,336 905,348 718,рост на,11 813,4%,6%,6%,рост на,0%
,,,,,,,,,,,,,,,,0,,0%,0%,,0%
Вложения от собственников,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,,0,0%,95%,94%,падение на,-2%
— прошлых периодов,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,5 215 000,336 137,673 042,рост на,336 905,100%,6%,12%,рост на,6%
— текущих периодов,,,,,,,,,,,,,336 905,348 718,рост на,11 813,4%,6%,6%,рост на,0%
,,,,,,,,,,,,,,,,0,,0%,0%,,0%
Добавочный капитал,,,,,,,,,,,,,,,,0,,0%,0%,,0%
Переоценка капитала,,,,,,,,,,,,,,,,0,,0%,0%,,0%
,,,,,,,,,,,,,,,,0,,0%,0%,,0%
Обязательства,1 620 878,1 529 778,1 502 061,1 034 258,0,0,0,0,0,0,0,0,1 620 878,1 529 778,падение на,-91 100,-6%,30%,28%,падение на,-2%
"Долгосрочные 
(свыше 12 месяцев)",665 062,509 321,349 911,233 293,0,0,0,0,0,0,0,0,665 062,509 321,падение на,-155 741,-23%,12%,9%,падение на,-3%
Кредиты банков,665 062,509 321,349 911,233 293,,,,,,,,,665 062,509 321,падение на,-155 741,-23%,12%,9%,падение на,-3%
Займы,0,0,,,,,,,,,,,0,0,,0,,0%,0%,,0%
Задолженность по лизингу,0,0,,,,,,,,,,,0,0,,0,,0%,0%,,0%
,,,,,,,,,,,,,,,,0,,0%,0%,,0%
"Краткосрочные
(менее 12 месяцев)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0%,0%,,0%
Кредиты банков,0,0,0,0,0,0,0,0,0,0,0,0,665 062,509 321,падение на,-155 741,-23%,12%,9%,падение на,-3%
Займы,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0%,0%,,0%
Овердрафт,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0%,0%,,0%
Кредиторская задолж-ть,955 816,1 020 457,1 152 150,800 965,0,0,0,0,0,0,0,0,955 816,1 020 457,рост на,64 641,7%,17%,18%,рост на,1%
Авансы клиентов,0,0,0,0,,,,,,,,,0,0,,0,,0%,0%,,0%
Задолженность перед поставщиками,520 334,654 187,542 071,443 042,,,,,,,,,520 334,654 187,рост на,133 853,26%,10%,12%,рост на,2%
Задолженность перед сотрудниками,111 094,23 044,194 097,87 809,,,,,,,,,111 094,23 044,падение на,-88 050,-79%,2%,0%,падение на,-2%
Депозиты сотрудников,132 500,143 500,163 810,166 500,,,,,,,,,132 500,143 500,рост на,11 000,8%,2%,3%,рост на,0%
Задолженность по налогам и сборам,0,0,0,0,,,,,,,,,0,0,,0,,0%,0%,,0%
Задолженность перед собственниками,168 000,170 000,217 000,50 000,,,,,,,,,168 000,170 000,рост на,2 000,1%,3%,3%,падение на,0%
Накопительный фонд задолженность,23 888,29 726,35 172,53 614,,,,,,,,,23 888,29 726,рост на,5 838,24%,0%,1%,рост на,0%
,,,,,,,,,,,,,,,,0,,0%,0%,,0%
Проверка (Активы = Пассивы),197 367,112 217,198 760,147 759,-1 073 194,-1 091 994,-1 064 985,-1 069 276,-1 128 275,-1 191 483,-1 232 866,-1 277 110,197 367,112 217,падение на,-85 150,-43%,,,,
,"3,61%","2,02%","3,46%","2,77%","-24,98%","-25,42%","-24,79%","-24,89%","-26,27%","-27,74%","-28,70%","-29,73%",,,,0,,,,,
Финансовые показатели,,,,,,,,,,,,,,,,0,,,,,
Оборотные активы,2 239 372,2 292 980,2 620 398,2 204 071,0,0,0,0,0,0,0,0,2 239 372,2 292 980,рост на,53 608,2%,,,,
Оборотный капитал,240 788,372 367,915 800,1 251 258,0,0,0,0,0,0,0,0,240 788,372 367,рост на,131 578,55%,,,,
,,,,,,,,,,,,,,,,,,,,,
Текущая ликвидность,,,,,,,,,,,,,,,,,,,,,
Коэффициент текущей ликвидности,"2,34","2,25","2,27","2,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2,34","2,25",падение на,"-0,10","-0,04",,,,
"Целевой коэффициент текущей ликвидности 
150-200%","1,50","1,50","1,50","1,50","1,50","1,50","1,50","1,50","1,50","1,50","1,50","1,50",,,,,,,,,
Абсолютная ликвидность,,,,,,,,,,,,,,,,,,,,,
Коэффициент абсолютной ликвидности,"1,09","0,88","0,48","0,19","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,09","0,88",падение на,"-0,21","-0,19",,,,
"Целевой коэффициент абсолютной ликвидности 
≥ 20%","0,20","0,20","0,20","0,20","0,20","0,20","0,20","0,20","0,20","0,20","0,20","0,20",,,,,,,,,
Финансовая устойчивость,,,,,,,,,,,,,,,,,,,,,
Коэффициент финансовой устойчивости,"0,80","0,80","0,77","0,83","1,33","1,34","1,33","1,33","1,36","1,38","1,40","1,42","0,80","0,80",рост на,"0,00","0,00",,,,
"Целевой коэффициент фин. устойчивости 
≥ 60%","0,60","0,60","0,60","0,60","0,60","0,60","0,60","0,60","0,60","0,60","0,60","0,60",,,,,,,,,
Финансовая независимость,,,,,,,,,,,,,,,,,,,,,
Коэффициент финансовой независимости,"0,70","0,72","0,74","0,81","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","0,70","0,72",рост на,"0,02","0,03",,,,
"Целевой коэффициент фин. независимости
не менее 40% (оптимальное 50% – 70%)","0,40","0,40","0,40","0,40","0,40","0,40","0,40","0,40","0,40","0,40","0,40","0,40",,,,,,,,,
Рентабельность собственного капитала,,,,,,,,,,,,,,,,,,,,,
Рентабельность месячная ROE,9%,9%,10%,2%,0%,0%,0%,0%,0%,0%,0%,0%,9%,9%,падение на,0%,-1%,,,,
Рентабельность целевая ROE,35%,35%,35%,35%,35%,35%,35%,35%,35%,35%,35%,35%,,,,,,,,,
Рентабельность Активов по чистой прибыли,,,,,,,,,,,,,,,,,,,,,
Рентабельность активов месячная,"5,95%","6,15%","7,31%","1,85%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","5,95%","6,15%",рост на,"0,21%",3%,,,,
Рентабельность активов целевая,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,,,,,,,,,
