endpoint,field_path,type,nullable,example_redacted,business_meaning
/employees/attendance/types,name,string,false,Праздничный,reference display name; redacted for employee records
/employees/attendance/types,payRate,decimal,false,2.000000000,attendance type pay multiplier
/employees/attendance/types,status,boolean,false,true,"reference active/status flag, not payroll approval status"
/employees/roles,code,string,true,BR1,business code of reference item
/employees/roles,deleted,boolean,false,false,field observed in iiko response; confirm business semantics before using in payroll rules
/employees/roles,id,uuid,false,<id>,technical row identifier in iiko
/employees/roles,name,string,false,Бармен,reference display name; redacted for employee records
/employees/roles,paymentPerHour,decimal,false,0.000000000,hourly role payment setting
/employees/roles,scheduleType,string,false,SESSION,role schedule type
/employees/roles,steadySalary,decimal,false,0.000000000,fixed salary role setting
/employees/salary,dateFrom,datetime,false,2026-02-19T00:00:00+03:00,attendance or schedule interval start
/employees/salary,dateTo,datetime,false,2500-01-01T00:00:00+03:00,attendance or schedule interval end; missing means open/unclosed entry
/employees/salary,employeeId,uuid,false,<employee_id_hash>,employee foreign key; stored only as employee_id_hash in processed
/employees/salary,payment,decimal,false,0.000000000,current salary/payment setting
/employees/schedule/types,code,string,false,АС 800,business code of reference item
/employees/schedule/types,comment,string,true,,free-form comment; may contain PII and is not exported to processed aggregates
/employees/schedule/types,id,uuid,false,<id>,technical row identifier in iiko
/employees/schedule/types,lengthMinutes,decimal,false,750,planned schedule type duration
/employees/schedule/types,name,string,false,Админ стажёр 800,reference display name; redacted for employee records
/employees/schedule/types,overtime,boolean,false,false,schedule type overtime flag
/employees/schedule/types,startTime,string,false,09:30,planned schedule type start time
/employees/schedule/types,tariff,decimal,false,800.000000000,schedule type tariff
/v2/reports/olap/byPresetId/{id} (Выручка по официантам),DishDiscountSumInt,decimal,false,42754.46,sales revenue after discounts in iiko OLAP
/v2/reports/olap/byPresetId/{id} (Выручка по официантам),DishSumInt,decimal,false,54047,sales revenue before discounts in iiko OLAP
/v2/reports/olap/byPresetId/{id} (Выручка по официантам),WaiterName,string,false,<redacted PII>,employee/waiter dimension in SALES preset; treat as PII and map only through a protected employee lookup
/v2/reports/olap/presets,aggregateFields,string,false,"['UniqOrderId.OrdersCount', 'DishDiscountSumInt', 'Delivery.DelayAvg']",field observed in iiko response; confirm business semantics before using in payroll rules
/v2/reports/olap/presets,buildSummary,string,true,,field observed in iiko response; confirm business semantics before using in payroll rules
/v2/reports/olap/presets,filters,string,false,"{'DeletedWithWriteoff': {'filterType': 'IncludeValues', 'values': ['NOT_DELETED'",field observed in iiko response; confirm business semantics before using in payroll rules
/v2/reports/olap/presets,groupByColFields,string,false,['Delivery.IsDelivery'],field observed in iiko response; confirm business semantics before using in payroll rules
/v2/reports/olap/presets,groupByRowFields,string,false,"['Department', 'Delivery.DeliveryOperator']",field observed in iiko response; confirm business semantics before using in payroll rules
/v2/reports/olap/presets,id,uuid,false,<id>,technical row identifier in iiko
/v2/reports/olap/presets,name,string,false,Доставки по операторам,reference display name; redacted for employee records
/v2/reports/olap/presets,reportType,string,false,DELIVERIES,field observed in iiko response; confirm business semantics before using in payroll rules
