date,operation_count,incoming_count,outgoing_count,unknown_direction_count,incoming_total,outgoing_total_abs,unknown_total_abs,net_total,source
2026-02-26,9,2,7,0,20848.16,176496.54,0.00,-155648.38,T-Bank API /api/v1/statement
2026-02-27,8,1,7,0,5280.00,14351.00,0.00,-9071.00,T-Bank API /api/v1/statement
2026-02-28,2,1,1,0,10557.20,10557.20,0.00,0.00,T-Bank API /api/v1/statement
2026-03-02,10,2,8,0,576812.56,213744.05,0.00,363068.51,T-Bank API /api/v1/statement
2026-03-03,16,3,13,0,248622.74,313652.24,0.00,-65029.50,T-Bank API /api/v1/statement
2026-03-04,3,0,3,0,0.00,252540.56,0.00,-252540.56,T-Bank API /api/v1/statement
2026-03-05,4,1,3,0,11360.00,4425.52,0.00,6934.48,T-Bank API /api/v1/statement
2026-03-06,1,0,1,0,0.00,268.88,0.00,-268.88,T-Bank API /api/v1/statement
2026-03-09,11,3,8,0,77490.00,20742.70,0.00,56747.30,T-Bank API /api/v1/statement
2026-03-10,21,1,20,0,1000000.00,507077.39,0.00,492922.61,T-Bank API /api/v1/statement
2026-03-11,2,0,2,0,0.00,303334.97,0.00,-303334.97,T-Bank API /api/v1/statement
2026-03-12,4,1,3,0,2903.00,117279.71,0.00,-114376.71,T-Bank API /api/v1/statement
2026-03-13,3,0,3,0,0.00,33186.62,0.00,-33186.62,T-Bank API /api/v1/statement
2026-03-15,6,2,4,0,34401.00,11365.58,0.00,23035.42,T-Bank API /api/v1/statement
2026-03-16,16,1,15,0,590000.00,445267.62,0.00,144732.38,T-Bank API /api/v1/statement
2026-03-17,3,1,2,0,6937.00,223167.37,0.00,-216230.37,T-Bank API /api/v1/statement
2026-03-18,1,0,1,0,0.00,164.19,0.00,-164.19,T-Bank API /api/v1/statement
2026-03-19,2,0,2,0,0.00,2920.64,0.00,-2920.64,T-Bank API /api/v1/statement
2026-03-20,1,0,1,0,0.00,299.00,0.00,-299.00,T-Bank API /api/v1/statement
2026-03-22,8,3,5,0,23010.00,6222.56,0.00,16787.44,T-Bank API /api/v1/statement
2026-03-23,9,1,8,0,477000.00,10473.32,0.00,466526.68,T-Bank API /api/v1/statement
2026-03-24,14,0,14,0,0.00,559395.57,0.00,-559395.57,T-Bank API /api/v1/statement
2026-03-25,5,1,4,0,1796.00,5975.26,0.00,-4179.26,T-Bank API /api/v1/statement
2026-03-26,7,1,6,0,174000.00,170560.93,0.00,3439.07,T-Bank API /api/v1/statement
2026-03-27,3,0,3,0,0.00,8352.15,0.00,-8352.15,T-Bank API /api/v1/statement
2026-03-29,7,2,5,0,18591.00,8897.00,0.00,9694.00,T-Bank API /api/v1/statement
2026-03-30,11,1,10,0,415000.00,241900.42,0.00,173099.58,T-Bank API /api/v1/statement
2026-03-31,4,1,3,0,80000.00,270689.63,0.00,-190689.63,T-Bank API /api/v1/statement
2026-04-01,1,0,1,0,0.00,4125.15,0.00,-4125.15,T-Bank API /api/v1/statement
2026-04-02,4,1,3,0,3704.03,5598.30,0.00,-1894.27,T-Bank API /api/v1/statement
2026-04-05,12,3,9,0,255129.86,249576.44,0.00,5553.42,T-Bank API /api/v1/statement
2026-04-06,20,1,19,0,440000.00,346680.83,0.00,93319.17,T-Bank API /api/v1/statement
2026-04-07,2,1,1,0,6143.00,45.99,0.00,6097.01,T-Bank API /api/v1/statement
2026-04-08,1,0,1,0,0.00,145.39,0.00,-145.39,T-Bank API /api/v1/statement
2026-04-09,2,1,1,0,5534.00,8969.25,0.00,-3435.25,T-Bank API /api/v1/statement
2026-04-10,1,0,1,0,0.00,130.98,0.00,-130.98,T-Bank API /api/v1/statement
2026-04-12,4,3,1,0,313485.70,4570.10,0.00,308915.60,T-Bank API /api/v1/statement
2026-04-13,16,1,15,0,550000.00,322190.05,0.00,227809.95,T-Bank API /api/v1/statement
2026-04-14,5,0,5,0,0.00,419019.33,0.00,-419019.33,T-Bank API /api/v1/statement
2026-04-15,1,0,1,0,0.00,62500.00,0.00,-62500.00,T-Bank API /api/v1/statement
2026-04-16,1,0,1,0,0.00,3763.40,0.00,-3763.40,T-Bank API /api/v1/statement
2026-04-17,1,0,1,0,0.00,909.96,0.00,-909.96,T-Bank API /api/v1/statement
2026-04-19,2,0,2,0,0.00,10258.72,0.00,-10258.72,T-Bank API /api/v1/statement
2026-04-20,20,5,15,0,1114001.45,910606.91,0.00,203394.54,T-Bank API /api/v1/statement
2026-04-21,2,0,2,0,0.00,209802.00,0.00,-209802.00,T-Bank API /api/v1/statement
2026-04-22,2,1,1,0,9957.00,450.00,0.00,9507.00,T-Bank API /api/v1/statement
2026-04-23,7,0,7,0,0.00,10018.29,0.00,-10018.29,T-Bank API /api/v1/statement
2026-04-26,4,1,3,0,3230.00,5178.55,0.00,-1948.55,T-Bank API /api/v1/statement
2026-04-27,20,1,19,0,421000.00,390481.08,0.00,30518.92,T-Bank API /api/v1/statement
2026-04-28,1,0,1,0,0.00,96911.00,0.00,-96911.00,T-Bank API /api/v1/statement
2026-04-29,3,1,2,0,5198.00,84174.55,0.00,-78976.55,T-Bank API /api/v1/statement
2026-04-30,3,0,3,0,0.00,4242.65,0.00,-4242.65,T-Bank API /api/v1/statement
2026-05-03,17,5,12,0,19670.88,19615.48,0.00,55.40,T-Bank API /api/v1/statement
2026-05-04,5,1,4,0,4604.89,6814.89,0.00,-2210.00,T-Bank API /api/v1/statement
2026-05-05,20,2,18,0,386635.00,311473.34,0.00,75161.66,T-Bank API /api/v1/statement
2026-05-06,3,0,3,0,0.00,1162.15,0.00,-1162.15,T-Bank API /api/v1/statement
2026-05-07,4,1,3,0,1195.00,4657.73,0.00,-3462.73,T-Bank API /api/v1/statement
2026-05-08,2,0,2,0,0.00,378.23,0.00,-378.23,T-Bank API /api/v1/statement
2026-05-11,7,1,6,0,5640.00,12814.26,0.00,-7174.26,T-Bank API /api/v1/statement
2026-05-12,17,1,16,0,677000.00,528876.73,0.00,148123.27,T-Bank API /api/v1/statement
2026-05-13,7,0,7,0,0.00,6325.94,0.00,-6325.94,T-Bank API /api/v1/statement
2026-05-14,4,0,4,0,0.00,7858.12,0.00,-7858.12,T-Bank API /api/v1/statement
2026-05-15,1,0,1,0,0.00,92500.00,0.00,-92500.00,T-Bank API /api/v1/statement
2026-05-16,1,0,1,0,0.00,946.86,0.00,-946.86,T-Bank API /api/v1/statement
2026-05-17,7,2,5,0,15446.00,8909.98,0.00,6536.02,T-Bank API /api/v1/statement
2026-05-18,7,0,7,0,0.00,4945.89,0.00,-4945.89,T-Bank API /api/v1/statement
2026-05-19,13,1,12,0,658000.00,529431.64,0.00,128568.36,T-Bank API /api/v1/statement
