Оплата поставщикам ,,,,,,,,,,,,,,,,,,,,
,2023,,,,,,,,,,,,,,,,,,,
[counterparty_hash:01761130fc],"550 554,20","448 520,90","563 362,40","426 336,90","598 769,80","424 733,50","416 428,20","417 792,10","550 554,20","448 520,90","563 362,40","426 336,90","598 769,80","424 733,50","416 428,20","417 792,10",,,,
[counterparty_hash:961b1c31cb],"88 100,00","6 361,00","91 360,00",,"96 600,00",,"80 850,00",,"88 100,00","6 361,00","91 360,00",,"96 600,00",,"80 850,00",,,,,
[counterparty_hash:10ad09b2bf],"24 561,97","6 516,25","16 906,52","6 251,99","55 633,92","42 415,66","68 484,62","49 218,26","24 561,97","6 516,25","16 906,52","6 251,99","55 633,92","42 415,66","68 484,62","49 218,26",,,,
[counterparty_hash:1340ea64e9],"7 516,00","25 961,50","19 176,00","26 605,50","31 404,90","25 172,70","32 125,50","21 697,00","7 516,00","25 961,50","19 176,00","26 605,50","31 404,90","25 172,70","32 125,50","21 697,00",,,,
[counterparty_hash:810942d5fa],,,,,,"5 000,00",,,,,,,,"5 000,00",,,,,,
[counterparty_hash:f76017a261],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:8128ee60c8],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:2d609b655e],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:b2d09b6565],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:3b5286b1f7],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:2c9dd7c496],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:4e9e5a80a9],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:0d03ab834a],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:e1cb4e2da2],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:5825737bc2],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:913fe52b19],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:9d002889b3],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:7d88c914c2],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:7518be4ba8],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:336aa1e26d],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:b34e6f2344],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:e467eaefc4],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:6279bcc436],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:b2b25bc0ee],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:675b5b0637],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:168e057bae],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:7638e8b71c],"3 000,00",,,,,,,,"3 000,00",,,,,,,,,,,
[counterparty_hash:9a7ac913a7],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:e628158a74],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:3cab83ecee],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:bd892aa017],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:ccf77aa91b],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:c40b0459d4],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:88250f9fc8],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:e65c4e3c87],,,,,,,,"71 600,00",,,,,,,,,,,,
[counterparty_hash:0e13905d1d],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:23573dbbe8],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:6786cc9f19],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:bc434624a0],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:5537360cc1],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:37bfda1ad9],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:645f7c9702],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:ef4b7429e3],,,,,,,,,,,,,,,,,,,,
