Ответственные,  ,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
,Корретировки кассы +,0,131,0,1 871,0,2,0,0,0,0,0,2 004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,0,411,0,0,0,411
,Поступление денег с торг. точек,800 000,856 652,900 000,896 840,900 000,869 646,970 000,880 844,900 000,785 291,4 470 000,4 289 273,930 000,903 188,850 000,896 080,1 070 000,1 134 382,850 000,823 608,3 700 000,3 757 257,1 250 000,1 174 373,850 000,841 810,850 000,833 832,850 000,1 016 192,3 800 000,3 866 207,940 000,824 497,850 000,817 891,960 000,870 705,900 000,829 637,900 000,1 100 755,4 550 000,4 443 485,950 000,1 011 200,890 000,929 475,900 000,998 930,1 050 000,1 084 672,3 790 000,4 024 277,1 140 000,1 081 188,850 000,967 696,1 020 000,915 175,900 000,1 007 163,3 910 000,3 971 221,1 010 000,1 025 282,950 000,969 545,850 000,882 937,950 000,933 108,950 000,964 802,4 710 000,4 775 674,910 000,897 753,950 000,905 902,900 000,898 853,1 100 000,983 572,3 860 000,3 686 081,1 160 000,1 191 503,950 000,908 259,950 000,883 109,1 090 000,907 364,4 150 000,3 890 236,1 080 000,1 103 957,920 000,983 931,900 000,965 509,930 000,898 733,910 000,1 128 118,4 740 000,5 080 248,150 000,1 035 484,0,935 362,0,941 369,0,1 017 078,150 000,3 929 293,950 000,899 879,950 000,930 046,1 140 000,1 056 319,1 200 000,1 312 276,500 000,400 055,4 740 000,4 598 575
,Прочие поступления,0,0,0,0,0,0,0,0,0,12 500,0,12 500,0,134,0,0,0,0,0,0,0,134,0,0,0,0,0,1 000,0,0,0,1 000,0,0,0,3 200,0,0,0,7 150,0,600,0,10 950,0,0,0,0,0,0,0,0,0,0,0,2 000,0,2 200,0,0,0,0,0,4 200,0,0,0,0,0,0,0,0,0,0,0,0,0,2 600,0,0,0,0,0,1 000,0,3 600,0,8 764,0,0,0,1 200,0,0,0,9 964,0,0,0,0,0,1 600,0,0,0,2 900,0,4 500,0,0,0,0,0,150,0,1 400,0,1 550,0,0,0,0,0,1 578,0,0,0,0,0,1 578
,Курьерская служба +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 000,0,0,0,0,0,5 000,0,10 000,0,0,0,0,0,0,0,10 000,0,0,0,0,0,0,0,0,0,0,0,0,0,5 000,0,0,0,3 000,0,0,0,8 000,0,0,0,500,0,0,0,0,0,500,0,0,0,0,0,0,0,5 000,0,500,0,5 500,0,2 500,0,1 500,0,5 000,0,500,0,9 500,0,0,0,0,0,0,0,0,0,0,0,0,0,21 000,0,1 500,0,0,0,0,0,22 500,0,2 000,0,7 650,0,5 000,0,100,0,14 750,0,0,0,5 000,0,200,0,3 800,0,1 400,0,10 400
,Получение кредитов и займов,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Получение овердрафта,266 047,266 047,346 052,346 052,474 893,474 893,72 095,72 095,0,0,1 159 087,1 159 087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Поступление денег от собственников,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Продажа ОС,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 000,0,0,0,5 000,0,0,0,0,0,0,0,0,0,0,0,0
,Возврат кредитов и займов,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60 000,0,60 000,0,0,0,80 000,0,0,0,0,0,80 000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Прочие поступл. от фин. операций,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0
,Платежи,-1 091 556,-1 016 033,-1 390 761,-1 242 028,-1 228 799,-1 320 880,-1 066 863,-1 079 588,-1 012 444,-628 622,-5 790 423,-5 287 150,-812 795,-848 312,-961 500,-858 415,-779 000,-794 744,-1 044 500,-1 193 872,-3 597 795,-3 695 344,-1 221 826,-708 960,-917 000,-1 479 460,-669 500,-763 764,-786 000,-881 026,-3 594 326,-3 833 211,-835 000,-853 558,-751 000,-842 823,-830 000,-847 763,-849 000,-914 826,-686 000,-1 033 937,-3 951 000,-4 492 906,-762 500,-879 715,-1 081 500,-1 087 783,-733 500,-819 152,-989 000,-1 028 795,-3 566 500,-3 815 445,-844 000,-920 581,-1 158 000,-1 114 911,-755 500,-644 917,-867 000,-1 030 093,-3 624 500,-3 710 502,-995 000,-1 048 206,-949 500,-1 017 375,-782 000,-863 364,-866 000,-632 772,-754 000,-1 296 411,-4 346 500,-4 858 128,-886 500,-679 735,-1 161 500,-1 598 688,-832 500,-850 359,-896 000,-1 042 532,-3 776 500,-4 171 315,-1 121 500,-1 124 167,-867 500,-794 678,-937 000,-950 307,-946 500,-726 770,-3 872 500,-3 595 922,-1 073 000,-1 121 419,-907 900,-893 220,-901 000,-883 075,-788 000,-821 588,-798 000,-1 064 586,-4 467 900,-4 783 887,0,-1 040 340,0,-1 192 964,0,-823 848,-85 000,-1 019 367,-85 000,-4 076 519,-955 900,-962 805,-861 000,-943 623,-1 000 000,-725 460,-1 020 000,-1 534 023,-405 000,-378 854,-4 241 900,-4 544 765
,Резервы вывод,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Корретировки кассы -,0,-1 000,0,0,0,0,0,-3,0,-331,0,-1 334,0,0,0,0,0,0,0,0,0,0,0,-700,0,0,0,-158,0,0,0,-858,0,0,0,0,0,-199,0,0,0,-4,0,-203,0,-94,0,-108,0,0,0,-820,0,-1 022,0,0,0,0,0,0,0,0,0,0,0,-1,0,-24,0,0,0,-577,0,0,0,-602,0,0,0,0,0,0,0,0,0,0,0,0,0,-110,0,0,0,0,0,-110,0,0,0,-1 098,0,-7,0,-55,0,-67,0,-1 226,0,0,0,0,0,-797,0,0,0,-797,0,0,0,0,0,-1 708,0,0,0,-110,0,-1 818
,Возвраты клиентам,0,0,0,0,0,-1 299,0,-663,0,0,0,-1 962,0,0,0,-4 589,0,-4 542,0,0,0,-9 131,0,0,0,0,0,-400,0,0,0,-400,0,0,0,0,0,0,0,-2 226,0,0,0,-2 226,0,0,0,0,0,0,0,-799,0,-799,0,0,0,0,0,0,0,-1 179,0,-1 179,0,0,0,0,0,-3 267,0,0,0,0,0,-3 267,0,-2 150,0,0,0,-1 409,0,-1 665,0,-5 224,0,-1 390,0,0,0,0,0,-3 278,0,-4 668,0,0,0,-200,0,0,0,0,0,0,0,-200,0,0,0,-1 065,0,-3 052,0,0,0,-4 117,0,-870,0,0,0,0,0,0,0,0,0,-870
,Оплата поставщикам ,-481 600,-416 270,-540 600,-476 352,-395 600,-431 416,-395 600,-321 834,-395 600,-33 700,-2 209 000,-1 679 571,-401 295,-355 931,-362 000,-358 309,-414 000,-379 472,-439 000,-475 093,-1 616 295,-1 568 805,-852 326,-371 369,-402 000,-736 018,-356 000,-451 585,-332 000,-300 057,-1 942 326,-1 859 029,-337 000,-336 498,-343 000,-399 927,-352 000,-382 969,-352 000,-340 896,-352 000,-438 936,-1 736 000,-1 899 226,-303 000,-354 329,-531 000,-529 551,-356 000,-424 606,-410 000,-446 087,-1 600 000,-1 754 573,-420 000,-378 198,-408 000,-379 319,-412 000,-387 848,-407 000,-397 830,-1 647 000,-1 543 194,-373 000,-393 663,-380 000,-487 341,-372 000,-364 684,-384 000,-56 435,-377 000,-490 114,-1 886 000,-1 792 237,-359 000,-225 006,-387 000,-744 305,-392 000,-406 612,-367 000,-505 330,-1 505 000,-1 881 253,-512 000,-501 898,-453 000,-426 825,-366 000,-388 241,-373 000,-285 858,-1 704 000,-1 602 823,-341 000,-385 908,-344 000,-344 635,-352 000,-357 089,-354 000,-398 703,-352 000,-397 740,-1 743 000,-1 884 075,0,-396 343,0,-520 638,0,-439 358,0,-436 868,0,-1 793 207,-406 000,-446 265,-373 000,-462 156,-477 000,-63 287,-542 000,-917 486,0,-36 155,-1 798 000,-1 925 349
,Прочие расходы,0,-18 350,0,0,0,0,0,0,0,0,0,-18 350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15 000,0,0,0,-15 000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2 000,0,0,0,0,0,0,0,0,0,-2 000
,Транспортные услуги,0,-1 350,0,-2 350,0,-2 900,0,0,0,-9 000,0,-15 600,-2 000,0,-2 000,-1 350,-2 000,-3 300,-2 000,-1 000,-8 000,-5 650,0,-2 200,0,-1 000,0,-1 000,0,-6 000,0,-10 200,0,0,0,-1 900,0,-900,0,-1 000,0,-1 000,0,-4 800,0,-3 700,0,-3 350,0,-1 350,-6 000,-6 000,-6 000,-14 400,0,0,0,-1 350,0,-1 350,0,-1 350,0,-4 050,0,-1 350,0,-1 350,0,-1 350,0,-5 000,0,0,0,-9 050,0,0,-7 000,0,0,-2 000,0,0,-7 000,-2 000,0,0,0,0,-10 000,0,0,0,-10 000,0,0,0,0,0,-7 000,0,0,0,0,0,-7 000,0,0,0,0,0,0,0,0,0,0,0,-7 000,0,0,0,0,0,0,-1 000,0,0,-7 000,-1 000
,Курьерская служба -,-90 000,-64 130,-80 000,-80 840,-80 000,-80 540,-80 000,-72 160,-80 000,-73 170,-410 000,-370 840,-80 000,-82 434,-80 000,-77 250,-90 000,-84 230,-80 000,-68 050,-330 000,-311 964,-90 000,-96 113,-75 000,-75 300,-80 000,-78 400,-80 000,-78 360,-325 000,-328 173,-80 000,-69 220,-80 000,-74 339,-80 000,-73 320,-80 000,-81 955,-80 000,-76 610,-400 000,-375 444,-85 000,-84 230,-75 000,-78 730,-85 000,-90 900,-80 000,-82 650,-325 000,-336 510,-80 000,-71 512,-80 000,-78 480,-80 000,-75 940,-80 000,-84 230,-320 000,-310 162,-80 000,-73 400,-80 000,-78 890,-80 000,-68 130,-80 000,-75 960,-80 000,-76 620,-400 000,-373 000,-75 000,-72 660,-75 000,-74 230,-75 000,-80 060,-75 000,-79 000,-300 000,-305 950,-80 000,-78 910,-75 000,-74 340,-75 000,-69 610,-80 000,-75 100,-310 000,-297 960,-80 000,-76 710,-80 000,-76 000,-75 000,-78 080,-75 000,-73 380,-80 000,-84 020,-390 000,-388 190,0,-76 820,0,-85 020,0,-78 380,0,-77 130,0,-317 350,-80 000,-74 040,-80 000,-80 810,-90 000,-82 160,-100 000,-99 830,-40 000,-30 260,-390 000,-367 100
