period_start,period_end,department_scope,department,origin_name,order_type,service_type,pay_types,orders,revenue,avg_check,gross_sum,discount_sum,discount_share_of_gross
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,(пусто),Доставка Курьер Стартер,COURIER,Банковские карты,13.0,24160.75,1858.5192307692307,31937.0,6117.25,0.19154115915709052
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,site,Самовывоз,PICKUP,Наличные,10.0,22926.0,2292.6,25907.52,2747.52,0.10605106162226256
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,site,Самовывоз,PICKUP,Оплата онлайн,9.0,15660.0,1740.0,17968.45,2308.45,0.1284724058001664
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,(пусто),Доставка курьером,COURIER,Оплата онлайн,7.0,9466.0,1352.2857142857142,10091.0,625.0,0.06193637895154098
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,site,Доставка курьером,COURIER,Оплата онлайн,4.0,3492.0,873.0,3991.0,499.0,0.1250313204710599
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,site,Доставка курьером,COURIER,Наличные,3.0,3337.0,1112.3333333333333,6655.0,1809.0,0.27182569496619086
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,(пусто),Доставка Курьер Стартер,COURIER,Наличные,3.0,2961.9700000000003,987.3233333333334,3667.0,705.03,0.19226343059721843
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,(пусто),Самовывоз,PICKUP,Оплата онлайн,1.0,833.0,833.0,1034.0,161.0,0.15570599613152805
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,(пусто),Доставка курьером,(пусто),Наличные,13.0,0.0,0.0,0.0,0.0,0.0
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,(пусто),Доставка курьером,COURIER,(без оплаты),138.0,0.0,0.0,269083.0,158408.0,0.5886956812581992
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,(пусто),Самовывоз,(пусто),Банковские карты,3.0,0.0,0.0,0.0,0.0,0.0
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,(пусто),Самовывоз,(пусто),Наличные,6.0,0.0,0.0,0.0,0.0,0.0
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,(пусто),Самовывоз,PICKUP,(без оплаты),327.0,0.0,0.0,274773.0,226735.0,0.825172051111281
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,site,Доставка Курьер Стартер,(пусто),Банковские карты,22.0,0.0,0.0,0.0,0.0,0.0
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,site,Доставка Курьер Стартер,(пусто),Наличные,13.0,0.0,0.0,0.0,0.0,0.0
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,site,Доставка Курьер Стартер,(пусто),Оплата онлайн,5.0,0.0,0.0,0.0,0.0,0.0
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,site,Доставка Курьер Стартер,COURIER,(без оплаты),253.0,0.0,0.0,602084.0,108369.0,0.17998983530537266
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,site,Самовывоз Стартер,PICKUP,(без оплаты),66.0,0.0,0.0,95015.0,29050.0,0.3057411987580908
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,(пусто),Доставка Курьер Стартер,COURIER,(без оплаты),3.0,0.0,0.0,5990.0,5990.0,1.0
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,(пусто),Доставка курьером,(пусто),Банковские карты,9.0,0.0,0.0,0.0,0.0,0.0
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,(пусто),Самовывоз,(пусто),(без оплаты),2.0,0.0,0.0,0.0,0.0,0.0
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,site,Самовывоз Стартер,(пусто),Оплата онлайн,1.0,0.0,0.0,0.0,0.0,0.0
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,site,Самовывоз Стартер,(пусто),Наличные,4.0,0.0,0.0,0.0,0.0,0.0
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,(пусто),(пусто),(пусто),(без оплаты),3.0,0.0,0.0,13415.0,13415.0,1.0
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,site,Самовывоз Стартер,(пусто),Банковские карты,2.0,0.0,0.0,0.0,0.0,0.0
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,site,Доставка курьером,COURIER,(без оплаты),1.0,0.0,0.0,2387.0,2387.0,1.0
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,(пусто),Доставка курьером,(пусто),Оплата онлайн,1.0,0.0,0.0,0.0,0.0,0.0
