asset_id,name,location,category,acquired_at,initial_cost,accumulated_depreciation,residual_value,method,useful_life_months,status,source_sheet,source_row,last_update_in_source,notes
FA-HIST-0012,Фритюрница Airhot EF10+10,ТЗ Гагарина,Тепловое оборудование,2023-09-04,17000.00,314.81,16685.19,linear_monthly_formula,108,in_work,Учёт ОС,12,2024-06-11,source_no=11.0; qty=1; unit_price=17000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0013,Рисоварка Харукан IR1944 5.6 л,Склад Гагарина,Тепловое оборудование,2023-01-18,18000.00,1000.00,17000.00,linear_monthly_formula,36,in_work,Учёт ОС,13,2024-06-11,source_no=12.0; qty=3; unit_price=6000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0014,рисоварка Россо ERC-10L,Склад Гагарина,Тепловое оборудование,2023-09-14,3000.00,166.67,2833.33,linear_monthly_formula,36,in_work,Учёт ОС,14,2024-06-11,source_no=13.0; qty=1; unit_price=3000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0015,Термос для риса Indokor IR-1120,ТЗ Гагарина,Тепловое оборудование,2021-03-01,10000.00,500.00,9500.00,linear_monthly_formula,60,in_work,Учёт ОС,15,2024-06-11,source_no=14.0; qty=1; unit_price=10000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0016,весы MER 326afulcd,ТЗ Гагарина,Вспомогательное оборудование,2021-02-01,1500.00,375.00,1125.00,linear_monthly_formula,12,in_work,Учёт ОС,16,2024-06-11,source_no=15.0; qty=1; unit_price=1500; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0017,весы форт-т 769,ТЗ Гагарина,Вспомогательное оборудование,2021-02-01,1500.00,375.00,1125.00,linear_monthly_formula,12,in_work,Учёт ОС,17,2024-06-11,source_no=16.0; qty=1; unit_price=1500; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0018,Контактный гриль Airhot CGL (хорошоее состояние),ТЗ Гагарина,Тепловое оборудование,2020-12-21,10000.00,500.00,9500.00,linear_monthly_formula,60,in_work,Учёт ОС,18,2024-06-11,source_no=17.0; qty=1; unit_price=10000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0019,Контактный гриль Airhot CGL (плохое состояние),Склад Гагарина,Тепловое оборудование,2020-03-10,10000.00,1250.00,8750.00,linear_monthly_formula,24,in_work,Учёт ОС,19,2024-06-11,source_no=18.0; qty=2; unit_price=5000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0020,Стол разделочный с бортом 100х60 см,ТЗ Гагарина,Вспомогательное оборудование,2020-03-10,16000.00,400.00,15600.00,linear_monthly_formula,120,in_work,Учёт ОС,20,2024-06-11,source_no=19.0; qty=2; unit_price=8000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0021,Стол холодильный для пиццы Hicold PZ2-1122GN,ТЗ Гагарина,Холодильное/морозильное оборудование,2020-12-21,110000.00,4583.33,105416.67,linear_monthly_formula,72,in_work,Учёт ОС,21,2024-06-11,source_no=20.0; qty=1; unit_price=110000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0022,Стол разделочный с бортом 150х60 см,ТЗ Гагарина,Вспомогательное оборудование,2020-03-10,18000.00,450.00,17550.00,linear_monthly_formula,120,in_work,Учёт ОС,22,2024-06-11,source_no=21.0; qty=1; unit_price=18000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0023,Пицца печь IT PIZZA ML44,ТЗ Гагарина,Тепловое оборудование,2020-03-10,100000.00,5000.00,95000.00,linear_monthly_formula,60,in_work,Учёт ОС,23,2024-06-11,source_no=22.0; qty=1; unit_price=100000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0024,Стол для салатов HICOLD SLE2-11GN,ТЗ Гагарина,Холодильное/морозильное оборудование,2020-12-21,100000.00,5000.00,95000.00,linear_monthly_formula,60,in_work,Учёт ОС,24,2024-06-11,source_no=23.0; qty=2; unit_price=50000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0025,Стол для салатов HICOLD SLE2-111SN,ТЗ Гагарина,Холодильное/морозильное оборудование,2020-08-20,65000.00,3250.00,61750.00,linear_monthly_formula,60,in_work,Учёт ОС,25,2024-06-11,source_no=24.0; qty=1; unit_price=65000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0026,Мангал профессиональный,Склад (гараж),Тепловое оборудование,2020-12-21,40000.00,769.23,39230.77,linear_monthly_formula,156,in_work,Учёт ОС,26,2024-06-11,source_no=25.0; qty=1; unit_price=40000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0027,Стол разделочный с бортом 120х60 см,ТЗ Гагарина,Вспомогательное оборудование,2020-05-12,42000.00,1050.00,40950.00,linear_monthly_formula,120,in_work,Учёт ОС,27,2024-06-11,source_no=26.0; qty=3; unit_price=14000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0028,Стелаж 260х79х49,Склад Гагарина,Вспомогательное оборудование,2020-12-21,9000.00,225.00,8775.00,linear_monthly_formula,120,in_work,Учёт ОС,28,2024-06-11,source_no=27.0; qty=1; unit_price=9000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0029,Вытяжной зонт 123х50,ТЗ Гагарина,Вспомогательное оборудование,2020-12-21,5000.00,96.15,4903.85,linear_monthly_formula,156,in_work,Учёт ОС,29,2024-06-11,source_no=28.0; qty=1; unit_price=5000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0030,Вытяжной зонт 150х60,ТЗ Гагарина,Вспомогательное оборудование,2020-12-21,9000.00,173.08,8826.92,linear_monthly_formula,156,in_work,Учёт ОС,30,2024-06-11,source_no=29.0; qty=1; unit_price=9000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0031,Вентилятор радиальный BP8075 с асинхронным двигатилем 1Ф IP 55,ТЗ Гагарина,Вспомогательное оборудование,2020-12-21,25000.00,1562.50,23437.50,linear_monthly_formula,48,in_work,Учёт ОС,31,2024-06-11,source_no=30.0; qty=1; unit_price=25000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0032,Мойка 2 секция,ТЗ Гагарина,Вспомогательное оборудование,2020-12-21,20000.00,555.56,19444.44,linear_monthly_formula,108,in_work,Учёт ОС,32,2024-06-11,source_no=31.0; qty=2; unit_price=10000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0033,Овощерезка Airhot VC- 300,ТЗ Гагарина,Электромеханическое оборудование,2023-01-19,40000.00,952.38,39047.62,linear_monthly_formula,84,in_work,Учёт ОС,33,2024-06-11,source_no=32.0; qty=1; unit_price=40000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0034,Морозильная ларь Бирюса 200VK,ТЗ Гагарина,Холодильное/морозильное оборудование,2020-03-10,11000.00,550.00,10450.00,linear_monthly_formula,60,in_work,Учёт ОС,34,2024-06-11,source_no=33.0; qty=1; unit_price=11000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0035,Морозильный ларь Pozis FH-250-1,ТЗ Гагарина,Холодильное/морозильное оборудование,2020-03-10,25000.00,892.86,24107.14,linear_monthly_formula,84,in_work,Учёт ОС,35,2024-06-11,source_no=34.0; qty=1; unit_price=25000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0036,Морозильная ларь Frostor F500S 135х78х62,Склад Гагарина,Холодильное/морозильное оборудование,2020-12-21,64000.00,2285.71,61714.29,linear_monthly_formula,84,in_work,Учёт ОС,36,2024-06-11,source_no=35.0; qty=2; unit_price=32000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0037,Стелаж 220х106х60,Склад Гагарина,Вспомогательное оборудование,2020-12-21,27000.00,675.00,26325.00,linear_monthly_formula,120,in_work,Учёт ОС,37,2024-06-11,source_no=36.0; qty=3; unit_price=9000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0038,Зонт вытяжной CK00 Новый,ТЗ Гагарина,Вспомогательное оборудование,2023-10-24,25000.00,320.51,24679.49,linear_monthly_formula,156,in_work,Учёт ОС,38,2024-06-11,source_no=37.0; qty=1; unit_price=25000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0039,Сплит система Берлингтон BR-18CST1/IN,ТЗ Гагарина,Системы кондиционирования,2023-05-08,40000.00,952.38,39047.62,linear_monthly_formula,84,in_work,Учёт ОС,39,2024-06-11,source_no=38.0; qty=1; unit_price=40000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0040,Кастрюля 10л,ТЗ Гагарина,Вспомогательное оборудование,2020-12-21,10000.00,500.00,9500.00,linear_monthly_formula,60,in_work,Учёт ОС,40,2024-06-11,source_no=39.0; qty=2; unit_price=5000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0041,Плита индукционная Airhot IP3500 (Лениградская),ТЗ Гагарина,Тепловое оборудование,2020-03-16,8000.00,8000.00,0.00,linear_monthly_formula,48,in_work,Учёт ОС,41,2024-06-11,source_no=40.0; qty=1; unit_price=8000; introduced_at=2023-10-31
FA-HIST-0042,Плита индукционная Airhot IP3500 (Гагарина),ТЗ Гагарина,Тепловое оборудование,2020-12-21,8000.00,500.00,7500.00,linear_monthly_formula,48,in_work,Учёт ОС,42,2024-06-11,source_no=41.0; qty=1; unit_price=8000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0043,Холодильный шкаф Polair CN105S (Не работает),Склад Гагарина,Холодильное/морозильное оборудование,2020-03-10,10000.00,0.00,10000.00,linear_monthly_formula,,in_work,Учёт ОС,43,2024-06-11,source_no=42.0; qty=1; unit_price=10000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0044,ПОС терминал Атол Оптима,ТЗ Гагарина,Оборудование торговых залов,2022-03-05,15000.00,1250.00,13750.00,linear_monthly_formula,36,in_work,Учёт ОС,44,2024-06-11,source_no=43.0; qty=1; unit_price=15000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0045,IP телефон Gigaset C530A с базой,ТЗ Гагарина,Оборудование торговых залов,2020-12-21,9000.00,562.50,8437.50,linear_monthly_formula,48,in_work,Учёт ОС,45,2024-06-11,source_no=44.0; qty=1; unit_price=9000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0046,Телефон Samsung Galaxy A7,ТЗ Гагарина,Оборудование торговых залов,2020-12-21,2000.00,250.00,1750.00,linear_monthly_formula,24,in_work,Учёт ОС,46,2024-06-11,source_no=45.0; qty=1; unit_price=2000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0047,ФН 36 мес,ТЗ Гагарина,Кассовое оборудование,2020-12-21,0.00,0.00,0.00,linear_monthly_formula,,in_work,Учёт ОС,47,2024-06-11,source_no=46.0; qty=1; unit_price=0; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0048,ФР Атол 25Ф,ТЗ Гагарина,Кассовое оборудование,2020-12-21,42000.00,875.00,41125.00,linear_monthly_formula,144,in_work,Учёт ОС,48,2024-06-11,source_no=47.0; qty=1; unit_price=42000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0049,Денежный ящик Форт,ТЗ Гагарина,Кассовое оборудование,2020-12-21,2500.00,62.50,2437.50,linear_monthly_formula,120,in_work,Учёт ОС,49,2024-06-11,source_no=48.0; qty=1; unit_price=2500; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0050,Принтер для чеков Atol RP-326-USE,ТЗ Гагарина,Кассовое оборудование,2020-12-21,10000.00,250.00,9750.00,linear_monthly_formula,120,in_work,Учёт ОС,50,2024-06-11,source_no=49.0; qty=2; unit_price=5000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0051,Портативная колонка SVEN PS-250BL,ТЗ Гагарина,Оборудование торговых залов,2022-09-14,0.00,0.00,0.00,linear_monthly_formula,,in_work,Учёт ОС,51,2024-06-11,source_no=50.0; qty=1; unit_price=0; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0052,Стол для зала,ТЗ Гагарина,Мебель и предметы интерьера,2020-12-21,7000.00,175.00,6825.00,linear_monthly_formula,120,in_work,Учёт ОС,52,2024-06-11,source_no=51.0; qty=1; unit_price=7000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0053,Стол для зала,Склад (гараж),Мебель и предметы интерьера,2020-12-22,7000.00,175.00,6825.00,linear_monthly_formula,120,in_work,Учёт ОС,53,2024-06-11,source_no=52.0; qty=1; unit_price=7000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0054,Барная стойка с пристройкой,ТЗ Гагарина,Мебель и предметы интерьера,2020-12-21,22000.00,2750.00,19250.00,linear_monthly_formula,24,in_work,Учёт ОС,54,2024-06-11,source_no=53.0; qty=1; unit_price=22000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0055,Стойка для сумок,ТЗ Гагарина,Мебель и предметы интерьера,2020-12-21,5000.00,125.00,4875.00,linear_monthly_formula,120,in_work,Учёт ОС,55,2024-06-11,source_no=54.0; qty=1; unit_price=5000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0056,Стулья барные металические,ТЗ Гагарина,Мебель и предметы интерьера,2020-12-21,9000.00,225.00,8775.00,linear_monthly_formula,120,in_work,Учёт ОС,56,2024-06-11,source_no=55.0; qty=3; unit_price=3000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0057,Стулья барные металические,Склад (гараж),Мебель и предметы интерьера,2020-12-22,21000.00,525.00,20475.00,linear_monthly_formula,120,in_work,Учёт ОС,57,2024-06-11,source_no=56.0; qty=7; unit_price=3000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0058,Рисоварка Индакор IR-1954,Ф-л Черникова,Тепловое оборудование,2023-05-08,18000.00,1500.00,16500.00,linear_monthly_formula,24,in_work,Учёт ОС,58,2024-06-11,source_no=57.0; qty=2; unit_price=9000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0059,Кондиционер Balu BSW/in-12HN1_23Y,Ф-л Черникова,Системы кондиционирования,2022-07-18,32000.00,1000.00,31000.00,linear_monthly_formula,96,in_work,Учёт ОС,59,2024-06-11,source_no=58.0; qty=1; unit_price=32000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0060,ПОС терминал SAM4S SPT-S260,Ф-л Черникова,Оборудование торговых залов,2023-05-08,53000.00,2208.33,50791.67,linear_monthly_formula,48,in_work,Учёт ОС,60,2024-06-11,source_no=59.0; qty=1; unit_price=53000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0061,ФН 36 мес,Ф-л Черникова,Кассовое оборудование,2023-05-08,0.00,0.00,0.00,linear_monthly_formula,36,in_work,Учёт ОС,61,2024-06-11,source_no=60.0; qty=1; unit_price=0; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0062,ФР Атол 25Ф,Ф-л Черникова,Кассовое оборудование,2020-08-20,42000.00,875.00,41125.00,linear_monthly_formula,144,in_work,Учёт ОС,62,2024-06-11,source_no=61.0; qty=1; unit_price=42000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0063,Денежный ящик Форт,Ф-л Черникова,Кассовое оборудование,2023-05-08,2500.00,41.67,2458.33,linear_monthly_formula,120,in_work,Учёт ОС,63,2024-06-11,source_no=62.0; qty=1; unit_price=2500; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0064,IP телефон Gigaset C530A с базой,Ф-л Черникова,Оборудование торговых залов,2023-05-08,11000.00,305.56,10694.44,linear_monthly_formula,72,in_work,Учёт ОС,64,2024-06-11,source_no=63.0; qty=1; unit_price=11000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0065,Внутренняя вывеска,Ф-л Черникова,Оборудование торговых залов,2023-06-09,20000.00,476.19,19523.81,linear_monthly_formula,84,in_work,Учёт ОС,65,2024-06-11,source_no=64.0; qty=1; unit_price=20000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0066,Внешняя вывеска,Ф-л Черникова,Оборудование торговых залов,2023-05-08,49000.00,1020.83,47979.17,linear_monthly_formula,96,in_work,Учёт ОС,66,2024-06-11,source_no=65.0; qty=1; unit_price=49000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0067,Мобильный телефон Redmi,Ф-л Черникова,Оборудование торговых залов,2023-05-08,10000.00,416.67,9583.33,linear_monthly_formula,48,in_work,Учёт ОС,67,2024-06-11,source_no=66.0; qty=1; unit_price=10000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0068,Термосумки Бренд,Ф-л Черникова,Оборудование торговых залов,2023-04-24,35000.00,2916.67,32083.33,linear_monthly_formula,24,in_work,Учёт ОС,68,2024-06-11,source_no=67.0; qty=7; unit_price=5000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0069,Термосумки Черные,Ф-л Черникова,Оборудование торговых залов,2021-03-01,2000.00,83.33,1916.67,linear_monthly_formula,72,in_work,Учёт ОС,69,2024-06-11,source_no=68.0; qty=2; unit_price=1000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0070,Саунд бар Hyunday c сабуфером,Ф-л Черникова,Оборудование торговых залов,2023-05-08,12000.00,666.67,11333.33,linear_monthly_formula,36,in_work,Учёт ОС,70,2024-06-11,source_no=69.0; qty=1; unit_price=12000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0071,Стойка бара,Ф-л Черникова,Мебель и предметы интерьера,2023-05-08,50000.00,833.33,49166.67,linear_monthly_formula,120,in_work,Учёт ОС,71,2024-06-11,source_no=70.0; qty=1; unit_price=50000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0072,Стол для зала,Ф-л Черникова,Мебель и предметы интерьера,2020-12-21,7000.00,175.00,6825.00,linear_monthly_formula,120,in_work,Учёт ОС,72,2024-06-11,source_no=71.0; qty=1; unit_price=7000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0073,Стулья барные металические,Ф-л Черникова,Мебель и предметы интерьера,2020-12-21,18000.00,450.00,17550.00,linear_monthly_formula,120,in_work,Учёт ОС,73,2024-06-11,source_no=72.0; qty=6; unit_price=3000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0074,Стойка под сумки,Ф-л Черникова,Мебель и предметы интерьера,2023-05-08,7000.00,116.67,6883.33,linear_monthly_formula,120,in_work,Учёт ОС,74,2024-06-11,source_no=73.0; qty=1; unit_price=7000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0075,стойка упаковки,Ф-л Черникова,Мебель и предметы интерьера,2023-05-08,12000.00,200.00,11800.00,linear_monthly_formula,120,in_work,Учёт ОС,75,2024-06-11,source_no=74.0; qty=1; unit_price=12000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0076,Шкаф под термосумки,Ф-л Черникова,Мебель и предметы интерьера,2023-05-08,12000.00,200.00,11800.00,linear_monthly_formula,120,in_work,Учёт ОС,76,2024-06-11,source_no=75.0; qty=1; unit_price=12000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0077,Шкаф для склада,Ф-л Черникова,Мебель и предметы интерьера,2023-05-08,12000.00,200.00,11800.00,linear_monthly_formula,120,in_work,Учёт ОС,77,2024-06-11,source_no=76.0; qty=1; unit_price=12000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0078,Мойка 2 секция,Ф-л Черникова,Вспомогательное оборудование,2023-05-08,20000.00,370.37,19629.63,linear_monthly_formula,108,in_work,Учёт ОС,78,2024-06-11,source_no=77.0; qty=2; unit_price=10000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0079,Мойка 1 секция,Ф-л Черникова,Вспомогательное оборудование,2023-05-08,5000.00,92.59,4907.41,linear_monthly_formula,108,in_work,Учёт ОС,79,2024-06-11,source_no=78.0; qty=1; unit_price=5000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0080,Стол разделочный с бортом 120х60 см,Ф-л Черникова,Вспомогательное оборудование,2023-05-08,42000.00,700.00,41300.00,linear_monthly_formula,120,in_work,Учёт ОС,80,2024-06-11,source_no=79.0; qty=3; unit_price=14000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0081,Стол разделочный с бортом 150х60 см,Ф-л Черникова,Вспомогательное оборудование,2023-05-08,108000.00,1800.00,106200.00,linear_monthly_formula,120,in_work,Учёт ОС,81,2024-06-11,source_no=80.0; qty=6; unit_price=18000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0082,Стол разделочный с бортом 180х60 см,Ф-л Черникова,Вспомогательное оборудование,2023-05-08,30000.00,500.00,29500.00,linear_monthly_formula,120,in_work,Учёт ОС,82,2024-06-11,source_no=81.0; qty=1; unit_price=30000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0083,Стол разделочный с бортом 100х60 см,Ф-л Черникова,Вспомогательное оборудование,2023-05-08,8000.00,133.33,7866.67,linear_monthly_formula,120,in_work,Учёт ОС,83,2024-06-11,source_no=82.0; qty=1; unit_price=8000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0084,Стол холодильный Polair TN3GN-G с бортом,Ф-л Черникова,Холодильное/морозильное оборудование,2023-05-08,160000.00,5333.33,154666.67,linear_monthly_formula,60,in_work,Учёт ОС,84,2024-06-11,source_no=83.0; qty=2; unit_price=80000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0085,Стол холодильный Polair TM2G-G с бортом,Ф-л Черникова,Холодильное/морозильное оборудование,2023-05-08,136000.00,4533.33,131466.67,linear_monthly_formula,60,in_work,Учёт ОС,85,2024-06-11,source_no=84.0; qty=2; unit_price=68000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0086,Саладетта Polair VT2-G,Ф-л Черникова,Холодильное/морозильное оборудование,2023-05-08,60000.00,2000.00,58000.00,linear_monthly_formula,60,in_work,Учёт ОС,86,2024-06-11,source_no=85.0; qty=2; unit_price=30000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0087,Саладетта Polair VT3-G,Ф-л Черникова,Холодильное/морозильное оборудование,2023-05-08,70000.00,2333.33,67666.67,linear_monthly_formula,60,in_work,Учёт ОС,87,2024-06-11,source_no=86.0; qty=2; unit_price=35000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0088,"Шкаф холодильный ШХФ-1,4 POLAIR (возможно CM114-S)",Ф-л Черникова,Холодильное/морозильное оборудование,2023-05-08,80000.00,3333.33,76666.67,linear_monthly_formula,48,in_work,Учёт ОС,88,2024-06-11,source_no=87.0; qty=1; unit_price=80000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0089,Холодильник Polair CM 105-S,Ф-л Черникова,Холодильное/морозильное оборудование,2023-05-08,45000.00,1250.00,43750.00,linear_monthly_formula,72,in_work,Учёт ОС,89,2024-06-11,source_no=88.0; qty=1; unit_price=45000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0090,Холодильник Polair CM 107-S,Ф-л Черникова,Холодильное/морозильное оборудование,2023-05-08,63000.00,1750.00,61250.00,linear_monthly_formula,72,in_work,Учёт ОС,90,2024-06-11,source_no=89.0; qty=1; unit_price=63000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0091,Стол для пиццы Cooleq PZ2610TN-VRX380,Ф-л Черникова,Холодильное/морозильное оборудование,2023-05-08,200000.00,4166.67,195833.33,linear_monthly_formula,96,in_work,Учёт ОС,91,2024-06-11,source_no=90.0; qty=1; unit_price=200000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0092,Гриль саламандра AIRHOT SGE-938,Ф-л Черникова,Тепловое оборудование,2023-05-08,12000.00,400.00,11600.00,linear_monthly_formula,60,in_work,Учёт ОС,92,2024-06-11,source_no=91.0; qty=1; unit_price=12000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0093,Чебуречница VALEX HEF-82B,Ф-л Черникова,Тепловое оборудование,2023-05-08,11000.00,458.33,10541.67,linear_monthly_formula,48,in_work,Учёт ОС,93,2024-06-11,source_no=92.0; qty=1; unit_price=11000; introduced_at=2023-10-31; monthly_depreciation_formula_present
