section,line_name,last_filled_period,value_at_last_filled_period,formula_or_source,notes
Пассивы / Капитал,Капитал,2024-12-31,1307138.24,=M53+M54+M58+M62,source_sheet=Баланс ; source_row=52
Пассивы / Капитал,Уставный капитал,2024-12-31,,manual_or_blank_value,source_sheet=Баланс ; source_row=53; blank_at_last_filled_period
Пассивы / Капитал,Накопленная прибыль/убыток:,2024-12-31,-3807861.76,=M55+M56,source_sheet=Баланс ; source_row=54
Пассивы / Капитал,— прошлых периодов,2024-12-31,-4049240.76,=L54,source_sheet=Баланс ; source_row=55
Пассивы / Капитал,— текущих периодов,2024-12-31,241379.00,source: ОПиУ,source_sheet=Баланс ; source_row=56
Пассивы / Капитал,Дивиденды,2024-12-31,-100000.00,=M59+M60,source_sheet=Баланс ; source_row=58
Пассивы / Капитал,— прошлых периодов,2024-12-31,0.00,=L58,source_sheet=Баланс ; source_row=59
Пассивы / Капитал,— текущих периодов,2024-12-31,-100000.00,source: ОПиУ,source_sheet=Баланс ; source_row=60
Пассивы / Капитал,Вложения от собственников,2024-12-31,5215000.00,=M63+M64,source_sheet=Баланс ; source_row=62
Пассивы / Капитал,— прошлых периодов,2024-12-31,5215000.00,=L62,source_sheet=Баланс ; source_row=63
Пассивы / Капитал,— текущих периодов,2024-12-31,,source: ОПиУ,source_sheet=Баланс ; source_row=64; blank_at_last_filled_period
Пассивы / Капитал,Добавочный капитал,2024-12-31,,manual_or_blank_value,source_sheet=Баланс ; source_row=66; blank_at_last_filled_period
Пассивы / Капитал,Переоценка капитала,2024-12-31,,manual_or_blank_value,source_sheet=Баланс ; source_row=67; blank_at_last_filled_period
Пассивы / Обязательства / Долгосрочные,Обязательства,2024-12-31,3244498.80,=M70+M75+M79,source_sheet=Баланс ; source_row=69
Пассивы / Обязательства / Долгосрочные,Долгосрочные  (свыше 12 месяцев),2024-12-31,2216218.32,=sum(M71:M74),source_sheet=Баланс ; source_row=70
Пассивы / Обязательства / Долгосрочные,Кредиты банков,2024-12-31,2216218.32,source: Учет ФД,source_sheet=Баланс ; source_row=71
Пассивы / Обязательства / Долгосрочные,Займы,2024-12-31,,manual_or_blank_value,source_sheet=Баланс ; source_row=72; blank_at_last_filled_period
Пассивы / Обязательства / Долгосрочные,Задолженность по лизингу,2024-12-31,,manual_or_blank_value,source_sheet=Баланс ; source_row=73; blank_at_last_filled_period
Пассивы / Обязательства / Краткосрочные,Краткосрочные (менее 12 месяцев),2024-12-31,27132.23,=sum(M76:M78),source_sheet=Баланс ; source_row=75
Пассивы / Обязательства / Краткосрочные,Кредиты банков,2024-12-31,,source: Учет ФД,source_sheet=Баланс ; source_row=76; blank_at_last_filled_period
Пассивы / Обязательства / Краткосрочные,Займы,2024-12-31,,manual_or_blank_value,source_sheet=Баланс ; source_row=77; blank_at_last_filled_period
Пассивы / Обязательства / Краткосрочные,Овердрафт,2024-12-31,27132.23,source: Лог баланса,source_sheet=Баланс ; source_row=78
Пассивы / Обязательства / Кредиторская задолженность,Кредиторская задолж-ть,2024-12-31,1001148.25,=sum(M80:M87),source_sheet=Баланс ; source_row=79
Пассивы / Обязательства / Кредиторская задолженность,Авансы клиентов,2024-12-31,0.00,manual_or_blank_value,source_sheet=Баланс ; source_row=80
Пассивы / Обязательства / Кредиторская задолженность,Задолженность перед поставщиками,2024-12-31,650348.25,source: Отчет Айко,source_sheet=Баланс ; source_row=81
Пассивы / Обязательства / Кредиторская задолженность,Задолженность перед сотрудниками,2024-12-31,146700.00,source: ЗПВ,source_sheet=Баланс ; source_row=82
Пассивы / Обязательства / Кредиторская задолженность,Депозиты сотрудников,2024-12-31,104100.00,manual_or_blank_value,source_sheet=Баланс ; source_row=83
Пассивы / Обязательства / Кредиторская задолженность,Задолженность по налогам и сборам,2024-12-31,0.00,manual_or_blank_value,source_sheet=Баланс ; source_row=84
Пассивы / Обязательства / Кредиторская задолженность,Задолженность перед собственниками,2024-12-31,100000.00,manual_or_blank_value,source_sheet=Баланс ; source_row=85
Пассивы / Обязательства / Кредиторская задолженность,Проверка (Активы = Пассивы),2024-12-31,-97586.94,=M3-M51,source_sheet=Баланс ; source_row=88; balance_check_not_zero
Финансовые показатели,Финансовые показатели,2024-12-31,,manual_or_blank_value,source_sheet=Баланс ; source_row=90; blank_at_last_filled_period
Финансовые показатели,Оборотные активы,2024-12-31,930508.10,=M19+M26+M36,source_sheet=Баланс ; source_row=91
Финансовые показатели,Оборотный капитал,2024-12-31,-388120.97,=M19+M36-M79,source_sheet=Баланс ; source_row=92
Финансовые показатели,Текущая ликвидность,2024-12-31,,manual_or_blank_value,source_sheet=Баланс ; source_row=94; blank_at_last_filled_period
Финансовые показатели,Коэффициент текущей ликвидности,2024-12-31,0.95,"=IFERROR(M18/(M75+M79),0)",source_sheet=Баланс ; source_row=95
Финансовые показатели,Целевой коэффициент текущей ликвидности  150-200%,2024-12-31,1.50,manual_or_blank_value,source_sheet=Баланс ; source_row=96
Финансовые показатели,Абсолютная ликвидность,2024-12-31,,manual_or_blank_value,source_sheet=Баланс ; source_row=97; blank_at_last_filled_period
Финансовые показатели,Коэффициент абсолютной ликвидности,2024-12-31,0.31,"=IFERROR((M26+M42)/(M75+M79),0)",source_sheet=Баланс ; source_row=98
Финансовые показатели,Целевой коэффициент абсолютной ликвидности  ≥ 20%,2024-12-31,0.20,manual_or_blank_value,source_sheet=Баланс ; source_row=99
Финансовые показатели,Финансовая устойчивость,2024-12-31,,manual_or_blank_value,source_sheet=Баланс ; source_row=100; blank_at_last_filled_period
Финансовые показатели,Коэффициент финансовой устойчивости,2024-12-31,0.79,"=iferror(((M52+M70)/M3),0)",source_sheet=Баланс ; source_row=101
Финансовые показатели,Целевой коэффициент фин. устойчивости  ≥ 60%,2024-12-31,0.60,manual_or_blank_value,source_sheet=Баланс ; source_row=102
Финансовые показатели,Финансовая независимость,2024-12-31,,manual_or_blank_value,source_sheet=Баланс ; source_row=103; blank_at_last_filled_period
Финансовые показатели,Коэффициент финансовой независимости,2024-12-31,0.29,"=iferror(M52/(M52+M69),0)",source_sheet=Баланс ; source_row=104
Финансовые показатели,Целевой коэффициент фин. независимости не менее 40% (оптимальное 50% – 70%),2024-12-31,0.40,manual_or_blank_value,source_sheet=Баланс ; source_row=105
Финансовые показатели,Рентабельность собственного капитала,2024-12-31,,manual_or_blank_value,source_sheet=Баланс ; source_row=106; blank_at_last_filled_period
Финансовые показатели,Рентабельность месячная ROE,2024-12-31,0.18,"=iferror(M56/M52,0)",source_sheet=Баланс ; source_row=107
Финансовые показатели,Рентабельность целевая ROE,2024-12-31,0.35,manual_or_blank_value,source_sheet=Баланс ; source_row=108
Финансовые показатели,Рентабельность Активов по чистой прибыли,2024-12-31,,manual_or_blank_value,source_sheet=Баланс ; source_row=109; blank_at_last_filled_period
Финансовые показатели,Рентабельность активов месячная,2024-12-31,0.05,"=iferror(M56/M3,0)",source_sheet=Баланс ; source_row=110
Финансовые показатели,Рентабельность активов целевая,2024-12-31,0.10,manual_or_blank_value,source_sheet=Баланс ; source_row=111
