month,pnl_line,component,product_name,sum_total,item_count,source
2026-03,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Перчатки винил,7153.72,5,research/raw/iiko/incoming_invoice/2026-03.json
2026-03,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Перчатки хоз плотные,272.44,1,research/raw/iiko/incoming_invoice/2026-03.json
2026-03,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пищевая пленка широкая,867.03,3,research/raw/iiko/incoming_invoice/2026-03.json
2026-03,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Фольга 29см,2531.61,4,research/raw/iiko/incoming_invoice/2026-03.json
2026-03,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Шпажки,379.70,3,research/raw/iiko/incoming_invoice/2026-03.json
2026-03,Содержание торговых точек,Закупка расходников на торговые точки,Вафельное полотенце рулон,6169.86,2,research/raw/iiko/incoming_invoice/2026-03.json
2026-03,Содержание торговых точек,Закупка расходников на торговые точки,Мешок для мусора 120л,34.85,1,research/raw/iiko/incoming_invoice/2026-03.json
2026-03,Содержание торговых точек,Закупка расходников на торговые точки,Мешок для мусора 240л,3276.78,3,research/raw/iiko/incoming_invoice/2026-03.json
2026-03,Содержание торговых точек,Закупка расходников на торговые точки,Мешок кондитерский одноразовый,884.21,1,research/raw/iiko/incoming_invoice/2026-03.json
2026-03,Содержание торговых точек,Закупка расходников на торговые точки,Моющие и чистящие средства,8406.18,16,research/raw/iiko/incoming_invoice/2026-03.json
2026-03,Содержание торговых точек,Закупка расходников на торговые точки,Мусорный пакет 60л,41.91,1,research/raw/iiko/incoming_invoice/2026-03.json
2026-03,Содержание торговых точек,Закупка расходников на торговые точки,Полотенца бумажные,3387.60,3,research/raw/iiko/incoming_invoice/2026-03.json
2026-03,Содержание торговых точек,Закупка расходников на торговые точки,Туалетная бумага,575.00,4,research/raw/iiko/incoming_invoice/2026-03.json
2026-03,Содержание торговых точек,Закупка расходников на торговые точки,Чековая лента бол. 80х80,1769.82,4,research/raw/iiko/incoming_invoice/2026-03.json
2026-04,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Вилки,196.50,2,research/raw/iiko/incoming_invoice/2026-04.json
2026-04,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пакет вакуум 25/35,1530.00,1,research/raw/iiko/incoming_invoice/2026-04.json
2026-04,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пакет фасовка,1308.98,2,research/raw/iiko/incoming_invoice/2026-04.json
2026-04,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пакет фасовка 10+6,422.44,2,research/raw/iiko/incoming_invoice/2026-04.json
2026-04,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Перчатки винил,1000.00,1,research/raw/iiko/incoming_invoice/2026-04.json
2026-04,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Перчатки хоз плотные,526.00,3,research/raw/iiko/incoming_invoice/2026-04.json
2026-04,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пищевая пленка широкая,575.28,3,research/raw/iiko/incoming_invoice/2026-04.json
2026-04,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Фольга 29см,2005.15,4,research/raw/iiko/incoming_invoice/2026-04.json
2026-04,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Шпажки,402.86,5,research/raw/iiko/incoming_invoice/2026-04.json
2026-04,Содержание торговых точек,Закупка расходников на торговые точки,Вафельное полотенце рулон,9215.19,3,research/raw/iiko/incoming_invoice/2026-04.json
2026-04,Содержание торговых точек,Закупка расходников на торговые точки,Мешок для мусора 120л,104.55,3,research/raw/iiko/incoming_invoice/2026-04.json
2026-04,Содержание торговых точек,Закупка расходников на торговые точки,Мешок для мусора 240л,3276.78,3,research/raw/iiko/incoming_invoice/2026-04.json
2026-04,Содержание торговых точек,Закупка расходников на торговые точки,Моющие и чистящие средства,10206.51,25,research/raw/iiko/incoming_invoice/2026-04.json
2026-04,Содержание торговых точек,Закупка расходников на торговые точки,Полотенца бумажные,3256.95,3,research/raw/iiko/incoming_invoice/2026-04.json
2026-04,Содержание торговых точек,Закупка расходников на торговые точки,Туалетная бумага,854.00,5,research/raw/iiko/incoming_invoice/2026-04.json
2026-04,Содержание торговых точек,Закупка расходников на торговые точки,Чековая лента бол. 80х80,2819.82,4,research/raw/iiko/incoming_invoice/2026-04.json
2026-05,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Вилки,262.00,2,research/raw/iiko/incoming_invoice/2026-05.json
2026-05,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Ложка чайная,141.00,2,research/raw/iiko/incoming_invoice/2026-05.json
2026-05,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пакет вакуум 16х25,870.00,1,research/raw/iiko/incoming_invoice/2026-05.json
2026-05,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пакет фасовка 10+6,110.89,1,research/raw/iiko/incoming_invoice/2026-05.json
2026-05,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Перчатки винил,2043.92,7,research/raw/iiko/incoming_invoice/2026-05.json
2026-05,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Перчатки хоз плотные,592.03,3,research/raw/iiko/incoming_invoice/2026-05.json
2026-05,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пищевая пленка широкая,191.76,1,research/raw/iiko/incoming_invoice/2026-05.json
2026-05,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Фольга 29см,1440.90,2,research/raw/iiko/incoming_invoice/2026-05.json
2026-05,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Шпажки,58.89,1,research/raw/iiko/incoming_invoice/2026-05.json
2026-05,Содержание торговых точек,Закупка расходников на торговые точки,Вафельное полотенце рулон,3098.13,1,research/raw/iiko/incoming_invoice/2026-05.json
2026-05,Содержание торговых точек,Закупка расходников на торговые точки,Мешок для мусора 240л,2184.52,2,research/raw/iiko/incoming_invoice/2026-05.json
2026-05,Содержание торговых точек,Закупка расходников на торговые точки,Моющие и чистящие средства,4798.00,10,research/raw/iiko/incoming_invoice/2026-05.json
2026-05,Содержание торговых точек,Закупка расходников на торговые точки,Полотенца бумажные,1161.45,1,research/raw/iiko/incoming_invoice/2026-05.json
2026-05,Содержание торговых точек,Закупка расходников на торговые точки,Туалетная бумага,438.01,2,research/raw/iiko/incoming_invoice/2026-05.json
2026-05,Содержание торговых точек,Закупка расходников на торговые точки,Чековая лента бол. 80х80,380.28,1,research/raw/iiko/incoming_invoice/2026-05.json
2026-05,Содержание торговых точек,Закупка расходников на торговые точки,Чековая лента мал. 57х40,540.00,1,research/raw/iiko/incoming_invoice/2026-05.json
