level,item_name,dish_group_top,dish_category,revenue,product_cost,food_cost_pct,gross_margin,risk_flags,risk_comment,recommended_action
dish,Сет Пятница,Сет в наборе,(пусто),0.0,243748.4,0.0,-243748.4,negative_gross_margin;empty_category,отрицательная валовая маржа; пустая категория; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Сет Эдо,Сет в наборе,Сеты,0.0,202505.02,0.0,-202505.02,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Сырная 30см,Пиццы 30см на выбор,Пицца,0.0,11363.64,0.0,-11363.64,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Сырная 40см,Пиццы 40см на выбор,Комбо-набор,0.0,4851.06,0.0,-4851.06,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Филадельфия тар-тар в подарок,Промокоды,(пусто),0.0,2475.24,0.0,-2475.24,negative_gross_margin;empty_category,отрицательная валовая маржа; пустая категория; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Цыпленок гриль 30 см,Пицца 30см на выбор,Пицца,0.0,48106.67,0.0,-48106.67,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Акционный набор №2,Акционные предложения,Акционные товары,784115.88,0.0,0.0,784115.88,0_cost_significant_revenue,0 cost при значимой выручке; проверить техкарту/модификаторы,"Проверить, где списывается себестоимость: техкарта родителя, дочерние компоненты или услуга."
dish,Акционный набор №1,Акционные предложения,Акционные товары,736488.73,0.0,0.0,736488.73,0_cost_significant_revenue,0 cost при значимой выручке; проверить техкарту/модификаторы,"Проверить, где списывается себестоимость: техкарта родителя, дочерние компоненты или услуга."
dish,Акционный набор №3,Акционные предложения,Акционные товары,577757.14,0.0,0.0,577757.14,0_cost_significant_revenue,0 cost при значимой выручке; проверить техкарту/модификаторы,"Проверить, где списывается себестоимость: техкарта родителя, дочерние компоненты или услуга."
dish,3 пиццы 30см,Комбо наборы,Комбо-набор,298764.57,0.0,0.0,298764.57,0_cost_significant_revenue,0 cost при значимой выручке; проверить техкарту/модификаторы,"Проверить, где списывается себестоимость: техкарта родителя, дочерние компоненты или услуга."
dish,2 пиццы 30см,Комбо наборы,Комбо-набор,243933.36,0.0,0.0,243933.36,0_cost_significant_revenue,0 cost при значимой выручке; проверить техкарту/модификаторы,"Проверить, где списывается себестоимость: техкарта родителя, дочерние компоненты или услуга."
category,Доставка / Услуги доставки,Доставка,Услуги доставки,139148.63,0.0,0.0,139148.63,0_cost_significant_revenue,0 cost при значимой выручке; проверить техкарту/модификаторы,"Проверить, где списывается себестоимость: техкарта родителя, дочерние компоненты или услуга."
dish,3 пиццы 40см,Комбо наборы,Комбо-набор,115995.79,0.0,0.0,115995.79,0_cost_significant_revenue,0 cost при значимой выручке; проверить техкарту/модификаторы,"Проверить, где списывается себестоимость: техкарта родителя, дочерние компоненты или услуга."
dish,Соевый соус 100 мл,Специи,Все блюда,245091.74,116065.01,0.473557,129026.73,food_cost_gt_45pct,food cost выше 45%; проверить техкарту и списание себестоимости,"Проверить актуальность техкарты, цены ингредиентов и цену продажи."
category,Напитки / (пусто),Напитки,(пусто),87178.16,53662.8,0.615553,33515.36,food_cost_gt_45pct;empty_category,food cost выше 45%; пустая категория; проверить техкарту и списание себестоимости,"Проверить актуальность техкарты, цены ингредиентов и цену продажи."
dish,Филадельфия классик,Роллы,Роллы,83928.11,39511.27,0.470775,44416.84,food_cost_gt_45pct,food cost выше 45%; проверить техкарту и списание себестоимости,"Проверить актуальность техкарты, цены ингредиентов и цену продажи."
dish,Добрый Кола,Напитки,(пусто),60486.96,37756.58,0.62421,22730.38,food_cost_gt_45pct;empty_category,food cost выше 45%; пустая категория; проверить техкарту и списание себестоимости,"Проверить актуальность техкарты, цены ингредиентов и цену продажи."
dish,Палочки,(пусто),Все блюда,44834.19,31921.47,0.711989,12912.72,food_cost_gt_45pct;empty_category,food cost выше 45%; пустая категория; проверить техкарту и списание себестоимости,"Проверить актуальность техкарты, цены ингредиентов и цену продажи."
dish,Добрый Лимон-лайм,Напитки,(пусто),14695.98,9370.64,0.637633,5325.34,food_cost_gt_45pct;empty_category,food cost выше 45%; пустая категория; проверить техкарту и списание себестоимости,"Проверить актуальность техкарты, цены ингредиентов и цену продажи."
dish,Морс облепиха,Напитки,Напитки,14558.13,7129.4,0.489719,7428.73,food_cost_gt_45pct,food cost выше 45%; проверить техкарту и списание себестоимости,"Проверить актуальность техкарты, цены ингредиентов и цену продажи."
dish,Яритэ,Роллы,Роллы,14042.74,7586.07,0.540213,6456.67,food_cost_gt_45pct,food cost выше 45%; проверить техкарту и списание себестоимости,"Проверить актуальность техкарты, цены ингредиентов и цену продажи."
dish,Фудзивара,Роллы,Роллы,10896.29,5265.05,0.483197,5631.24,food_cost_gt_45pct,food cost выше 45%; проверить техкарту и списание себестоимости,"Проверить актуальность техкарты, цены ингредиентов и цену продажи."
dish,Добрый Апельсин,Напитки,(пусто),8653.06,6535.58,0.755291,2117.48,food_cost_gt_45pct;empty_category,food cost выше 45%; пустая категория; проверить техкарту и списание себестоимости,"Проверить актуальность техкарты, цены ингредиентов и цену продажи."
dish,Классический с угрем,Роллы,Роллы,5208.61,2550.62,0.489693,2657.99,food_cost_gt_45pct,food cost выше 45%; проверить техкарту и списание себестоимости,"Проверить актуальность техкарты, цены ингредиентов и цену продажи."
dish,Невада,Роллы,Роллы,4168.23,1968.86,0.472349,2199.37,food_cost_gt_45pct,food cost выше 45%; проверить техкарту и списание себестоимости,"Проверить актуальность техкарты, цены ингредиентов и цену продажи."
dish,"Колбаски ""Пепперони""",Добавки для пиццы,Пицца,2079.66,953.2,0.458344,1126.46,food_cost_gt_45pct,food cost выше 45%; проверить техкарту и списание себестоимости,"Проверить актуальность техкарты, цены ингредиентов и цену продажи."
dish,Огурцы маринованные,Добавки для пиццы,Пицца,1108.27,505.7,0.456297,602.57,food_cost_gt_45pct,food cost выше 45%; проверить техкарту и списание себестоимости,"Проверить актуальность техкарты, цены ингредиентов и цену продажи."
dish,Маслины,Добавки для пиццы,Пицца,984.13,834.92,0.848384,149.21,food_cost_gt_45pct,food cost выше 45%; проверить техкарту и списание себестоимости,"Проверить актуальность техкарты, цены ингредиентов и цену продажи."
dish,Пакет для пиццы 30х30,(пусто),(пусто),35.35,17.92,0.506931,17.43,food_cost_gt_45pct;empty_category,food cost выше 45%; пустая категория; проверить техкарту и списание себестоимости,"Проверить актуальность техкарты, цены ингредиентов и цену продажи."
dish,Пакет для пиццы 40х40,(пусто),(пусто),30.0,16.32,0.544,13.68,food_cost_gt_45pct;empty_category,food cost выше 45%; пустая категория; проверить техкарту и списание себестоимости,"Проверить актуальность техкарты, цены ингредиентов и цену продажи."
category,Проработки / (пусто),Проработки,(пусто),338941.66,119648.18,0.353005,219293.48,empty_category,пустая категория; проверить справочник категорий,Заполнить dish_group_top/dish_category в справочнике iiko.
dish,"Сет ""Нейросет""",Проработки,(пусто),338941.66,119648.18,0.353005,219293.48,empty_category,пустая категория; проверить справочник категорий,Заполнить dish_group_top/dish_category в справочнике iiko.
category,Пицца / (пусто),Пицца,(пусто),171225.22,50301.93,0.293776,120923.29,empty_category,пустая категория; проверить справочник категорий,Заполнить dish_group_top/dish_category в справочнике iiko.
dish,Цыпленок Том Ям,Пицца,(пусто),171225.22,50301.93,0.293776,120923.29,empty_category,пустая категория; проверить справочник категорий,Заполнить dish_group_top/dish_category в справочнике iiko.
category,Доставка / (пусто),Доставка,(пусто),31710.21,0.0,0.0,31710.21,empty_category,пустая категория; проверить справочник категорий,Заполнить dish_group_top/dish_category в справочнике iiko.
dish,Новый город,Доставка,(пусто),11653.65,0.0,0.0,11653.65,empty_category,пустая категория; проверить справочник категорий,Заполнить dish_group_top/dish_category в справочнике iiko.
dish,Старый город сред. 120р,Доставка,(пусто),9424.78,0.0,0.0,9424.78,empty_category,пустая категория; проверить справочник категорий,Заполнить dish_group_top/dish_category в справочнике iiko.
dish,Отдаленные районы 120р,Доставка,(пусто),5201.34,0.0,0.0,5201.34,empty_category,пустая категория; проверить справочник категорий,Заполнить dish_group_top/dish_category в справочнике iiko.
category,Соусы / (пусто),Соусы,(пусто),4065.14,1038.68,0.255509,3026.46,empty_category,пустая категория; проверить справочник категорий,Заполнить dish_group_top/dish_category в справочнике iiko.
dish,Соус Чесночный S.U CHEF,Соусы,(пусто),4065.14,1038.68,0.255509,3026.46,empty_category,пустая категория; проверить справочник категорий,Заполнить dish_group_top/dish_category в справочнике iiko.
dish,Пуэр на вишневом соке,Напитки,(пусто),3142.16,0.0,0.0,3142.16,empty_category,пустая категория; проверить справочник категорий,Заполнить dish_group_top/dish_category в справочнике iiko.
dish,Старый город,Доставка,(пусто),2086.77,0.0,0.0,2086.77,empty_category,пустая категория; проверить справочник категорий,Заполнить dish_group_top/dish_category в справочнике iiko.
dish,Новый город 120р,Доставка,(пусто),1402.16,0.0,0.0,1402.16,empty_category,пустая категория; проверить справочник категорий,Заполнить dish_group_top/dish_category в справочнике iiko.
dish,Новый город 140р,Доставка,(пусто),1074.1,0.0,0.0,1074.1,empty_category,пустая категория; проверить справочник категорий,Заполнить dish_group_top/dish_category в справочнике iiko.
dish,Отдаленные территории 400,Доставка,(пусто),767.41,0.0,0.0,767.41,empty_category,пустая категория; проверить справочник категорий,Заполнить dish_group_top/dish_category в справочнике iiko.
dish,Пуэр,Напитки,(пусто),200.0,0.0,0.0,200.0,empty_category,пустая категория; проверить справочник категорий,Заполнить dish_group_top/dish_category в справочнике iiko.
dish,Старый город 100р,Доставка,(пусто),100.0,0.0,0.0,100.0,empty_category,пустая категория; проверить справочник категорий,Заполнить dish_group_top/dish_category в справочнике iiko.
category,Ингредиенты / (пусто),Ингредиенты,(пусто),45.0,11.27,0.250444,33.73,empty_category,пустая категория; проверить справочник категорий,Заполнить dish_group_top/dish_category в справочнике iiko.
dish,Дип-пот Сырный,Ингредиенты,(пусто),45.0,11.27,0.250444,33.73,empty_category,пустая категория; проверить справочник категорий,Заполнить dish_group_top/dish_category в справочнике iiko.
category,Сет в наборе / (пусто),Сет в наборе,(пусто),0.0,0.0,0.0,0.0,empty_category,пустая категория; проверить справочник категорий,Заполнить dish_group_top/dish_category в справочнике iiko.
dish,Ланч-бокс 1 секция,(пусто),Все блюда,0.0,0.0,0.0,0.0,empty_category,пустая категория; проверить справочник категорий,Заполнить dish_group_top/dish_category в справочнике iiko.
dish,Отдаленные районы 170,Доставка,(пусто),0.0,0.0,0.0,0.0,empty_category,пустая категория; проверить справочник категорий,Заполнить dish_group_top/dish_category в справочнике iiko.
dish,Отдаленные районы 300,Доставка,(пусто),0.0,0.0,0.0,0.0,empty_category,пустая категория; проверить справочник категорий,Заполнить dish_group_top/dish_category в справочнике iiko.
