period,source_system,source_sheet,article,source_type,management_block,amount_signed,amount_abs,source_row_or_scope,comment
2023-10,Google Sheets ОПиУ,Факт,Оплата систем автоматизации,Общепроизводственные,общепроизводственные / постоянные,33875.0,33875.0,Факт!A76:M76,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Содержание торговых точек,Общепроизводственные,общепроизводственные / постоянные,98698.05,98698.05,Факт!A77:M77,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Аренда склада,Общепроизводственные,аренда,4000.0,4000.0,Факт!A78:M78,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Вспомогательные товары(учет по факту оплаты),Общепроизводственные,общепроизводственные / постоянные,11122.89,11122.89,Факт!A80:M80,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Коммунальные платежи Гагарина,Административные,постоянные / административные,42245.0,42245.0,Факт!A90:M90,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Коммунальные платежи Черникова,Административные,постоянные / административные,71850.0,71850.0,Факт!A91:M91,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,РКО,Административные,постоянные / административные,1984.13,1984.13,Факт!A92:M92,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Прочие банковские комиссии,Административные,прочие / ниже EBITDA,1206.65,1206.65,Факт!A93:M93,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Услуги ФД,Административные,постоянные / административные,90000.0,90000.0,Факт!A94:M94,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Расходы на персонал,Административные,ФОТ / персонал,367.4,367.4,Факт!A95:M95,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Телекоммуникации,Административные,постоянные / административные,17970.0,17970.0,Факт!A96:M96,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Комиссия агрегатору,Коммерческие,маркетинг / продажи,6750.0,6750.0,Факт!A105:M105,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Таргетированная реклама,Коммерческие,маркетинг / продажи,27069.0,27069.0,Факт!A106:M106,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Контекстная реклама,Коммерческие,маркетинг / продажи,100456.0,100456.0,Факт!A107:M107,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,SEO - оптимизация,Коммерческие,маркетинг / продажи,9000.0,9000.0,Факт!A110:M110,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Прочие маркетинговые услуги,Коммерческие,маркетинг / продажи,36400.0,36400.0,Факт!A111:M111,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Сайт и приложение,Коммерческие,маркетинг / продажи,73836.0,73836.0,Факт!A112:M112,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Проценты по кредитам,Расходы ниже EBITDA,финансовые / ниже EBITDA,27070.0,27070.0,Факт!A126:M126,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Налоги,Расходы ниже EBITDA,прочие / ниже EBITDA,4273.0,4273.0,Факт!A127:M127,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Комиссия за овердрафт,Расходы ниже EBITDA,финансовые / ниже EBITDA,17360.0,17360.0,Факт!A128:M128,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Амортизация,Расходы ниже EBITDA,прочие / ниже EBITDA,51139.0,51139.0,Факт!A129:M129,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Расход продуктов (фудкост) Черникова,Переменные,переменные / себестоимость,707455.49,707455.49,Факт!A15:M15,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Расход продуктов (фудкост) Гагарина,Переменные,переменные / себестоимость,726714.51,726714.51,Факт!A16:M16,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Прямые постоянные,,ручная классификация,-8367.58,8367.58,Факт!A57:M57,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Результаты инвентаризации коробки д/пиццы,Прямые постоянные,общепроизводственные / постоянные,-8367.58,8367.58,Факт!A59:M59,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Аренда торговой точки Гагарина,Общепроизводственные,аренда,50000.0,50000.0,Факт!A66:M66,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Аренда торговой точки Черникова,Общепроизводственные,аренда,100000.0,100000.0,Факт!A67:M67,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Списание продукции и сырья,Общепроизводственные,общепроизводственные / постоянные,65983.37,65983.37,Факт!A70:M70,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Результаты ревизии,Общепроизводственные,общепроизводственные / постоянные,6938.0,6938.0,Факт!A71:M71,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Траты на курьерскую службу,Общепроизводственные,доставка / логистика,305230.0,305230.0,Факт!A72:M72,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Комиссия за эквайринг,Общепроизводственные,общепроизводственные / постоянные,36094.83,36094.83,Факт!A73:M73,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Транспортные услуги,Общепроизводственные,доставка / логистика,19700.0,19700.0,Факт!A74:M74,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Расходы на питание персонала,Общепроизводственные,ФОТ / персонал,33197.32,33197.32,Факт!A75:M75,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Оплата систем автоматизации,Общепроизводственные,общепроизводственные / постоянные,33235.0,33235.0,Факт!A76:M76,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Содержание торговых точек,Общепроизводственные,общепроизводственные / постоянные,53308.02,53308.02,Факт!A77:M77,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Аренда склада,Общепроизводственные,аренда,4000.0,4000.0,Факт!A78:M78,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Результаты инвентаризации упаковки (кроме коробок для пиццы),Общепроизводственные,общепроизводственные / постоянные,14522.1,14522.1,Факт!A79:M79,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Вспомогательные товары(учет по факту оплаты),Общепроизводственные,общепроизводственные / постоянные,11302.27,11302.27,Факт!A80:M80,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Коммунальные платежи Гагарина,Административные,постоянные / административные,64083.0,64083.0,Факт!A90:M90,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Коммунальные платежи Черникова,Административные,постоянные / административные,59835.0,59835.0,Факт!A91:M91,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,РКО,Административные,постоянные / административные,4256.34,4256.34,Факт!A92:M92,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Услуги ФД,Административные,постоянные / административные,75000.0,75000.0,Факт!A94:M94,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Расходы на персонал,Административные,ФОТ / персонал,1328.41,1328.41,Факт!A95:M95,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Телекоммуникации,Административные,постоянные / административные,17400.0,17400.0,Факт!A96:M96,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Поиск и найм персонала,Административные,ФОТ / персонал,11620.0,11620.0,Факт!A97:M97,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Комиссия агрегатору,Коммерческие,маркетинг / продажи,5175.0,5175.0,Факт!A105:M105,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Таргетированная реклама,Коммерческие,маркетинг / продажи,13500.0,13500.0,Факт!A106:M106,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Контекстная реклама,Коммерческие,маркетинг / продажи,106493.0,106493.0,Факт!A107:M107,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Листовки,Коммерческие,маркетинг / продажи,74000.0,74000.0,Факт!A109:M109,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,SEO - оптимизация,Коммерческие,маркетинг / продажи,9000.0,9000.0,Факт!A110:M110,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Прочие маркетинговые услуги,Коммерческие,маркетинг / продажи,28000.0,28000.0,Факт!A111:M111,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Сайт и приложение,Коммерческие,маркетинг / продажи,74874.0,74874.0,Факт!A112:M112,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Проценты по кредитам,Расходы ниже EBITDA,финансовые / ниже EBITDA,15876.23,15876.23,Факт!A126:M126,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Налоги,Расходы ниже EBITDA,прочие / ниже EBITDA,4273.0,4273.0,Факт!A127:M127,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Комиссия за овердрафт,Расходы ниже EBITDA,финансовые / ниже EBITDA,18470.0,18470.0,Факт!A128:M128,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-11,Google Sheets ОПиУ,Факт,Амортизация,Расходы ниже EBITDA,прочие / ниже EBITDA,51139.0,51139.0,Факт!A129:M129,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Расход продуктов (фудкост) Черникова,Переменные,переменные / себестоимость,933643.0,933643.0,Факт!A15:M15,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Расход продуктов (фудкост) Гагарина,Переменные,переменные / себестоимость,942042.0,942042.0,Факт!A16:M16,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Прямые постоянные,,ручная классификация,30617.57,30617.57,Факт!A57:M57,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Результаты инвентаризации коробки д/пиццы,Прямые постоянные,общепроизводственные / постоянные,30617.57,30617.57,Факт!A59:M59,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Аренда торговой точки Гагарина,Общепроизводственные,аренда,50000.0,50000.0,Факт!A66:M66,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Аренда торговой точки Черникова,Общепроизводственные,аренда,100000.0,100000.0,Факт!A67:M67,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Списание продукции и сырья,Общепроизводственные,общепроизводственные / постоянные,70489.0,70489.0,Факт!A70:M70,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Результаты ревизии,Общепроизводственные,общепроизводственные / постоянные,34712.0,34712.0,Факт!A71:M71,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Траты на курьерскую службу,Общепроизводственные,доставка / логистика,372640.0,372640.0,Факт!A72:M72,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Комиссия за эквайринг,Общепроизводственные,общепроизводственные / постоянные,42930.0,42930.0,Факт!A73:M73,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Транспортные услуги,Общепроизводственные,доставка / логистика,22750.0,22750.0,Факт!A74:M74,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Расходы на питание персонала,Общепроизводственные,ФОТ / персонал,41267.0,41267.0,Факт!A75:M75,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Оплата систем автоматизации,Общепроизводственные,общепроизводственные / постоянные,24885.0,24885.0,Факт!A76:M76,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Содержание торговых точек,Общепроизводственные,общепроизводственные / постоянные,60143.0,60143.0,Факт!A77:M77,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Аренда склада,Общепроизводственные,аренда,4000.0,4000.0,Факт!A78:M78,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Результаты инвентаризации упаковки (кроме коробок для пиццы),Общепроизводственные,общепроизводственные / постоянные,41071.96,41071.96,Факт!A79:M79,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Вспомогательные товары(учет по факту оплаты),Общепроизводственные,общепроизводственные / постоянные,10209.68,10209.68,Факт!A80:M80,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Коммунальные платежи Гагарина,Административные,постоянные / административные,62409.0,62409.0,Факт!A90:M90,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Коммунальные платежи Черникова,Административные,постоянные / административные,68030.0,68030.0,Факт!A91:M91,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,РКО,Административные,постоянные / административные,5919.0,5919.0,Факт!A92:M92,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Услуги ФД,Административные,постоянные / административные,75000.0,75000.0,Факт!A94:M94,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Расходы на персонал,Административные,ФОТ / персонал,5468.0,5468.0,Факт!A95:M95,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Телекоммуникации,Административные,постоянные / административные,22400.0,22400.0,Факт!A96:M96,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Поиск и найм персонала,Административные,ФОТ / персонал,3600.0,3600.0,Факт!A97:M97,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Комиссия агрегатору,Коммерческие,маркетинг / продажи,6120.0,6120.0,Факт!A105:M105,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Таргетированная реклама,Коммерческие,маркетинг / продажи,19066.06,19066.06,Факт!A106:M106,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Контекстная реклама,Коммерческие,маркетинг / продажи,94503.3,94503.3,Факт!A107:M107,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Печатные материалы,Коммерческие,маркетинг / продажи,4400.0,4400.0,Факт!A108:M108,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Листовки,Коммерческие,маркетинг / продажи,108000.0,108000.0,Факт!A109:M109,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,SEO - оптимизация,Коммерческие,маркетинг / продажи,9000.0,9000.0,Факт!A110:M110,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Прочие маркетинговые услуги,Коммерческие,маркетинг / продажи,28000.0,28000.0,Факт!A111:M111,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Сайт и приложение,Коммерческие,маркетинг / продажи,95000.0,95000.0,Факт!A112:M112,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Прочие расходы,Расходы ниже EBITDA,прочие / ниже EBITDA,20000.0,20000.0,Факт!A125:M125,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Проценты по кредитам,Расходы ниже EBITDA,финансовые / ниже EBITDA,26063.0,26063.0,Факт!A126:M126,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Налоги,Расходы ниже EBITDA,прочие / ниже EBITDA,4273.0,4273.0,Факт!A127:M127,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Комиссия за овердрафт,Расходы ниже EBITDA,финансовые / ниже EBITDA,20560.0,20560.0,Факт!A128:M128,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-12,Google Sheets ОПиУ,Факт,Амортизация,Расходы ниже EBITDA,прочие / ниже EBITDA,51139.0,51139.0,Факт!A129:M129,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-08,Google Sheets ДДС,ДДС месяц,Услуги ФД,#N/A / #N/A,постоянные / административные,-270000.0,270000.0,"aggregated rows, raw counterparty/payment-purpose fields omitted","ДДС: выплаты агрегированы по статье; внутренние переводы между счетами исключены. Требует осторожности: это кассовый, не начисленный расход. Вид деятельности в ДДС = #N/A."
2023-08,Google Sheets ДДС,ДДС месяц,Аренда склада,Выбытие / Операционная,аренда,-8000.0,8000.0,"aggregated rows, raw counterparty/payment-purpose fields omitted","ДДС: выплаты агрегированы по статье; внутренние переводы между счетами исключены. Требует осторожности: это кассовый, не начисленный расход."
2023-08,Google Sheets ДДС,ДДС месяц,Аренда торговых точек,Выбытие / Операционная,аренда,-281693.0,281693.0,"aggregated rows, raw counterparty/payment-purpose fields omitted","ДДС: выплаты агрегированы по статье; внутренние переводы между счетами исключены. Требует осторожности: это кассовый, не начисленный расход."
2023-08,Google Sheets ДДС,ДДС месяц,Возвраты клиентам,Выбытие / Операционная,ручная классификация,-2923.0,2923.0,"aggregated rows, raw counterparty/payment-purpose fields omitted","ДДС: выплаты агрегированы по статье; внутренние переводы между счетами исключены. Требует осторожности: это кассовый, не начисленный расход."
2023-08,Google Sheets ДДС,ДДС месяц,Зарплата административного персонала,Выбытие / Операционная,ФОТ / персонал,-296335.0,296335.0,"aggregated rows, raw counterparty/payment-purpose fields omitted","ДДС: выплаты агрегированы по статье; внутренние переводы между счетами исключены. Требует осторожности: это кассовый, не начисленный расход."
2023-08,Google Sheets ДДС,ДДС месяц,Зарплата производственного персонала,Выбытие / Операционная,ФОТ / персонал,-757617.0,757617.0,"aggregated rows, raw counterparty/payment-purpose fields omitted","ДДС: выплаты агрегированы по статье; внутренние переводы между счетами исключены. Требует осторожности: это кассовый, не начисленный расход."
2023-08,Google Sheets ДДС,ДДС месяц,Комиссия агрегатору,Выбытие / Операционная,маркетинг / продажи,-7508.0,7508.0,"aggregated rows, raw counterparty/payment-purpose fields omitted","ДДС: выплаты агрегированы по статье; внутренние переводы между счетами исключены. Требует осторожности: это кассовый, не начисленный расход."
2023-08,Google Sheets ДДС,ДДС месяц,Контекстная реклама,Выбытие / Операционная,маркетинг / продажи,-85300.0,85300.0,"aggregated rows, raw counterparty/payment-purpose fields omitted","ДДС: выплаты агрегированы по статье; внутренние переводы между счетами исключены. Требует осторожности: это кассовый, не начисленный расход."
2023-08,Google Sheets ДДС,ДДС месяц,Корретировки кассы -,Выбытие / Операционная,ручная классификация,-10043.0,10043.0,"aggregated rows, raw counterparty/payment-purpose fields omitted","ДДС: выплаты агрегированы по статье; внутренние переводы между счетами исключены. Требует осторожности: это кассовый, не начисленный расход."
2023-08,Google Sheets ДДС,ДДС месяц,Курьерская служба -,Выбытие / Операционная,доставка / логистика,-279640.0,279640.0,"aggregated rows, raw counterparty/payment-purpose fields omitted","ДДС: выплаты агрегированы по статье; внутренние переводы между счетами исключены. Требует осторожности: это кассовый, не начисленный расход."
2023-08,Google Sheets ДДС,ДДС месяц,Листовки,Выбытие / Операционная,маркетинг / продажи,-44000.0,44000.0,"aggregated rows, raw counterparty/payment-purpose fields omitted","ДДС: выплаты агрегированы по статье; внутренние переводы между счетами исключены. Требует осторожности: это кассовый, не начисленный расход."
