"pnl_line","component","source_endpoint","source_scope","excel_group","excel_row","include_status","iiko_product_id","iiko_product_code","iiko_product_name","march_2026_api_sum","march_2026_excel_group_sum","control_status","notes"
"Вспомогательные товары(учет по факту оплаты)","Вспомогательные товары","/documents/export/incomingInvoice","2026-03-01..2026-03-31, status=PROCESSED","перчатки","3","include","a71a909f-6ae0-4370-8af7-09462db5ddfe","718","Перчатки винил","7153.72","7426.16","verified_march_2026","Один из товаров группы строки 3."
"Вспомогательные товары(учет по факту оплаты)","Вспомогательные товары","/documents/export/incomingInvoice","2026-03-01..2026-03-31, status=PROCESSED","перчатки","3","include","5d855c68-0488-48ea-8c0a-12f6f67ece61","448","Перчатки хоз плотные","272.44","7426.16","verified_march_2026","Один из товаров группы строки 3."
"Вспомогательные товары(учет по факту оплаты)","Вспомогательные товары","/documents/export/incomingInvoice","2026-03-01..2026-03-31, status=PROCESSED","фольга","4","include","5c104c03-ed14-4a21-a15c-c537d8867461","458","Фольга 29см","2531.61","2531.61","verified_march_2026","Входит в строку 4 мартовского Excel."
"Вспомогательные товары(учет по факту оплаты)","Вспомогательные товары","/documents/export/incomingInvoice","2026-03-01..2026-03-31, status=PROCESSED","лента для датера","5","include","edcb9c0d-d8eb-4b0d-8447-87a4c55d7eb1","720","Лента для датера","0.00","0.00","include_zero_march","Включать в будущих месяцах; в марте 2026 покупок не было."
"Вспомогательные товары(учет по факту оплаты)","Вспомогательные товары","/documents/export/incomingInvoice","2026-03-01..2026-03-31, status=PROCESSED","пищ.пленка","6","include","041cb6b1-aaf8-418d-b732-42e763a97e80","459","Пищевая пленка широкая","867.03","867.03","verified_march_2026","Входит в строку 6 мартовского Excel."
"Вспомогательные товары(учет по факту оплаты)","Вспомогательные товары","/documents/export/incomingInvoice","2026-03-01..2026-03-31, status=PROCESSED","шпажки","7","include","ab45600a-5e98-4f87-bc1b-e07190b683c1","721","Шпажки ","379.70","379.70","verified_march_2026","Входит в строку 7 мартовского Excel."
"Вспомогательные товары(учет по факту оплаты)","Вспомогательные товары","/documents/export/incomingInvoice","2026-03-01..2026-03-31, status=PROCESSED","ложки","8","include","3fa7853d-7470-4d07-920b-bb7e7e495390","481","Ложка чайная","47.00","47.00","verified_march_2026","Входит в строку 8 мартовского Excel."
"Вспомогательные товары(учет по факту оплаты)","Вспомогательные товары","/documents/export/incomingInvoice","2026-03-01..2026-03-31, status=PROCESSED","вилки","9","include","0d6bfb8a-0aeb-4cf1-8692-fa46689ec90d","457","Вилки","305.50","305.50","verified_march_2026","Входит в строку 9 мартовского Excel."
"Вспомогательные товары(учет по факту оплаты)","Вспомогательные товары","/documents/export/incomingInvoice","2026-03-01..2026-03-31, status=PROCESSED","пакет фасовка","10","include","39dc419a-1e20-4a21-9405-8e105186df57","434","Пакет фасовка ","0.00","0.00","include_zero_march","Включать как фасовочные пакеты в будущих месяцах; в марте 2026 покупок не было."
"Вспомогательные товары(учет по факту оплаты)","Вспомогательные товары","/documents/export/incomingInvoice","2026-03-01..2026-03-31, status=PROCESSED","пакет фасовка","10","include","be7b973b-f025-4c7b-bd7e-570aed4b958c","435","Пакет фасовка 10+6","0.00","0.00","include_zero_march","Включать как фасовочные пакеты в будущих месяцах; в марте 2026 покупок не было."
"Вспомогательные товары(учет по факту оплаты)","Вспомогательные товары","/documents/export/incomingInvoice","2026-03-01..2026-03-31, status=PROCESSED","пакеты для вакуматора","11","include","48955f58-23ca-4ec9-a394-f504035c5df5","1115","Пакет вакуум 25/35","1428.00","1658.00","verified_march_2026","Входит в строку 11 мартовского Excel."
"Вспомогательные товары(учет по факту оплаты)","Вспомогательные товары","/documents/export/incomingInvoice","2026-03-01..2026-03-31, status=PROCESSED","пакеты для вакуматора","11","include","762ed25a-5581-4858-82da-83d75d433b25","1282","Пакет вакуум 16х25","230.00","1658.00","verified_march_2026","Входит в строку 11 мартовского Excel."
"Вспомогательные товары(учет по факту оплаты)","Вспомогательные товары","/documents/export/incomingInvoice","2026-03-01..2026-03-31, status=PROCESSED","пакеты для вакуматора","11","exclude","c878bae1-fc67-4093-a5cf-d06d43ae321f","1117","Пакет вакуум 160/200","694.00","1658.00","excluded_march_control","Не входит в мартовский Excel; широкий поиск по вакуумным пакетам дает лишние 694 руб."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","ланч-боксы","25","include","358af10e-7c6b-4ce3-b51d-ccfaa2f9d41f","1114","Ланч бокс 3 секции","-3653.22","-6041.23","verified_march_2026","Один из товаров группы строки 25."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","ланч-боксы","25","include","a3b0649f-c41f-4063-8bec-38432e9d673d","1105","Ланч-бокс 2 секции","-11874.41","-6041.23","verified_march_2026","Один из товаров группы строки 25."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","ланч-боксы","25","include","37977d9f-a43e-40f8-9798-e29c2d9dbe14","431","Ланчбокс 1 секция","9486.40","-6041.23","verified_march_2026","Один из товаров группы строки 25."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","коробка под фри","26","include","46d03929-245c-4328-8196-cc6af3300be7","437","Коробка под фри","1448.80","1448.80","verified_march_2026","Входит в строку 26 мартовского Excel."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","рог изобилия","27","requires_owner_review","831529f9-71b7-4468-b7ee-d112a710c289","488","Обертка ""Рог изобилия""","-822.68","1493.70","api_excel_mismatch","API по товару не сходится с Excel-группой; нужен ответ владельца, какие iiko-товары входят в строку 27."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","коробка под бургер","28","include","55d7713e-df82-40be-a1b0-a51fdc337145","438","Коробка под бургер","-509.44","-509.44","verified_march_2026","Входит в строку 28 мартовского Excel."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","пакеты для шаурмы","29","include","2a83cf81-2349-4731-a639-7170fc1387ed","368","Пакеты крафт 8х18","27.73","27.73","verified_march_2026","Входит в строку 29 мартовского Excel."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","пакеты для заказа с ручками","30","include","6631a392-0944-438f-80bb-f184716e965a","594","Пакет крафт с ручками","-18320.65","-18320.65","verified_march_2026","Входит в строку 30 мартовского Excel."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","пакеты для заказа без ручек","31","include","c7ce12d8-bbf5-496b-9120-fefba85f1c34","595","Пакет крафт без ручек","-758.85","-758.85","verified_march_2026","Входит в строку 31 мартовского Excel."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","соусник черный открытый","32","include","1fc0e714-57ab-491b-87be-da3420854619","461","Соусник черный открытый","-1352.71","-1352.71","verified_march_2026","Входит в строку 32 мартовского Excel."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","зубочистки","33","include","d2c2f2f4-93cb-42c8-a3e4-205540c9eaae","451","Зубочистки","-882.57","-882.57","verified_march_2026","Входит в строку 33 мартовского Excel."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","салфетки","34","include","62e4c086-38b9-4a78-abb1-859e8c62dcb0","449","Салфетки ","-1028.85","-1028.85","verified_march_2026","Входит в строку 34 мартовского Excel."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","палочки","35","requires_owner_review","e77bf108-e5ae-4873-b484-997457839a48","118","Палочки","972.77","-187.98","api_excel_mismatch","API по товару не сходится с Excel-группой; нужен ответ владельца по составу строки 35."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","палочки","35","requires_owner_review","4f2130a5-0a8a-49a4-b7f8-4891b8811027","1053","Палочки","0.00","-187.98","candidate_zero_march","Дублирующее название товара; в документе 0012 сумма 0, нужен ответ владельца включать ли в whitelist."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","бутылка 0.5","36","requires_owner_review","b2ae140d-ba89-4192-b68b-3c9c012dcc14","1150","Бутылка 0.5","1275.87","-687.01","api_excel_mismatch","API по товару не сходится с Excel-группой; нужен ответ владельца по составу строки 36."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","соусник 50 мл","37","include","d4f9f95b-5d39-4d0e-ad32-3f88718aa2d9","443","Соусник 50мл","111.05","111.05","verified_march_2026","Входит в строку 37 мартовского Excel."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","соусник бутылка","38","include","0e4ea631-28f1-48f8-a4e7-559438f3e0ec","450","Соусник бутылка 0.097","-703.57","-703.57","verified_march_2026","Входит в строку 38 мартовского Excel."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","контейнер 125гр","39","include","8362edce-ca43-48d0-ba58-8701b289519a","452","Контейнер для соуса 125гр","-118.86","-118.86","verified_march_2026","Входит в строку 39 мартовского Excel."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","контейнер 250гр","40","include","ddaf413e-f030-4318-abcf-26db96b4238c","453","Контейнер 250гр","-41.60","-41.60","verified_march_2026","Входит в строку 40 мартовского Excel."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","крышки для контейнеров","41","include","96801277-d55b-4673-9f46-e1bbf756fc5f","454","Крышки для конт. 125/250гр","-139.12","-139.12","verified_march_2026","Входит в строку 41 мартовского Excel."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","леденцы","42","include","b861305b-6a89-4020-bfdc-72afecff8969","361","Леденцы","-71.36","-71.36","verified_march_2026","Входит в строку 42 мартовского Excel."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","зип-локи","43","requires_owner_review","d5a959d4-9ea1-47bf-86c4-18a29896ba00","462","Пакет Зип 12/17","-75.22","-120.90","api_excel_mismatch","API по товару не сходится с Excel-группой; нужен ответ владельца, есть ли еще зип-лок товары."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","дип-поты","44","include","79787bbf-5896-4474-a76e-dd9c22ca6008","321","Дип-пот Кисло-сладкий","-28.75","-9.41","verified_march_2026","Один из товаров группы строки 44."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","дип-поты","44","include","5bd77cd7-53f2-41bd-8205-4d307470a2b5","1063","Дип-пот Чесночный","19.34","-9.41","verified_march_2026","Один из товаров группы строки 44."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","холодные напитки","45","requires_owner_review","001546c0-95ce-45d7-a082-24ba851843ed","545","Добрый Лимон-Лайм 1л","-239.42","-187.81","api_excel_mismatch","Один из товаров группы строки 45; сумма группы API не сходится с Excel."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","холодные напитки","45","requires_owner_review","9db111dd-fa71-45a0-a3d1-b274cd4b1508","490","Кола 0.3 товар","113.32","-187.81","api_excel_mismatch","Один из товаров группы строки 45; сумма группы API не сходится с Excel."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","холодные напитки","45","requires_owner_review","a17283aa-739d-427c-ad6e-cc47f772d70f","478","Кола 0.5 (товар)","-61.71","-187.81","api_excel_mismatch","Один из товаров группы строки 45; сумма группы API не сходится с Excel."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","холодные напитки","45","requires_owner_review","95a889d6-c4cc-4a63-816a-b17a6af59700","479","Кола 0.9 (товар)","80.93","-187.81","api_excel_mismatch","Один из товаров группы строки 45; сумма группы API не сходится с Excel."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","крышки для бутылок","46","include","15c31884-118a-4ad9-af5b-91715026671a","466","Крышка для бутылок","-24.28","-24.28","verified_march_2026","Входит в строку 46 мартовского Excel."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Инвентаризация упаковки","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","пакет майка ""спасибо за покупку""","47","include","fbf96eb0-f369-4e8a-a639-d81488801a12","1324","Пакет майка спасибо за покупку","0.00","0.00","verified_march_2026","Входит в строку 47 мартовского Excel."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Исключение: коробки для пиццы","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","коробки для пиццы","excluded","exclude","c550cc31-9448-460b-baa7-070f47662e13","686","Коробка 30х30 бренд","3164.00","","excluded_other_pnl_line","Не включать в эту строку; относится к отдельной строке Результаты инвентаризации коробки д/пиццы."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Исключение: коробки для пиццы","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","коробки для пиццы","excluded","exclude","9ccc60ef-b4d0-43d6-a6a4-877ee1950456","687","Коробка 40х40 бренд","3022.47","","excluded_other_pnl_line","Не включать в эту строку; относится к отдельной строке Результаты инвентаризации коробки д/пиццы."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Исключение: коробки для пиццы","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","коробки для пиццы","excluded","exclude","46aeed5f-83e4-41de-8d0b-8310ed726421","440","Коробка для пиццы 30х30","-1459.91","","excluded_other_pnl_line","Не включать в эту строку; относится к отдельной строке Результаты инвентаризации коробки д/пиццы."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","Исключение: коробки для пиццы","/reports/storeOperations","documentNum=0012, date=02.03.2026, productDetalization=true","коробки для пиццы","excluded","exclude","ad0e6fd7-2319-41a9-94c7-2136a05dc7a5","441","Коробка для пиццы 40х40","-2491.87","","excluded_other_pnl_line","Не включать в эту строку; относится к отдельной строке Результаты инвентаризации коробки д/пиццы."
