sheet,range_or_cell,purpose,manual_or_formula,depends_on,feeds_into,quality_status,privacy_level,comment
"ДДС: статьи","A1:E227","Справочник статей ДДС","manual","Справочники!B:C validations","Журнал операций, сводный ДДС, календарь","NEEDS_NORMALIZATION","internal","Нужны aliases/active flags, чтобы старые названия не давали #N/A."
"Справочники","A1:F12","Направления, виды деятельности, группы, месяцы","manual","Ручной ввод","Validations, month labels, article classification","OK","low","Малые справочники для нормализации."
"Контрагенты","A:A","Список контрагентов","manual","Ручной ввод","ДДС: месяц, платежный календарь","PRIVATE_DO_NOT_EXPORT_ROWS","high_private","Переносить только в закрытую таблицу counterparties."
"Технический лист","A:B, E:AE","Вспомогательные последовательности месяцев и автозаполнения","formula/manual","Месяцы и номера","ДДС: настройки, ДДС: Сводный","OK","low","В приложении заменить календарными таблицами."
"Тинькофф/Альфа/Сбербанк/Сейф/ТК Черникова/ТК Гагарина/ГарантФонд","B3:M3","Начало месяца по кошельку","formula","ДДС: настройки!B1, A3:B13, пред. месяц row 211","Локальный wallet cashflow","OK","financial_aggregate","Одинаковая логика для всех кошельков."
"Тинькофф/Альфа/Сбербанк/Сейф/ТК Черникова/ТК Гагарина/ГарантФонд","A5:A209","Список статей по блокам активности","formula","FILTER(ДДС: статьи by Вид деятельности)","Локальные обороты по статьям","EXPORT_FORMULA_DEGRADED","internal","В XLSX формулы FILTER конвертируются в DUMMYFUNCTION; правило переносить явно."
"Тинькофф/Альфа/Сбербанк/Сейф/ТК Черникова/ТК Гагарина/ГарантФонд","B5:M209","Обороты по статье/месяцу/кошельку","formula","SUMIFS(ДДС: месяц!D:D; month; wallet; article)","Обороты кошелька, row 210","OK","financial_aggregate","В приложении GROUP BY month,wallet,article."
"Тинькофф/Альфа/Сбербанк/Сейф/ТК Черникова/ТК Гагарина/ГарантФонд","B210:M211","Изменение и конец месяца по кошельку","formula","rows activity blocks + row 3","ДДС: Сводный local balances","OK","financial_aggregate","Конец месяца должен быть источником сверки wallets."
"ДДС: Сводный","B2:M14","Начальные остатки по месяцам и кошелькам","formula","ДДС: настройки, local wallet endings B220:M231","Денег на начало месяца","OK","financial_aggregate","Roll-forward по месяцам."
"ДДС: Сводный","B16:M217","Обороты по статьям cashflow","formula","ARRAYFORMULA/SUMIF over ДДС: месяц by month+article","Операционная/инвестиционная/финансовая деятельность","QUALITY_RISK_IF_UNCLASSIFIED","financial_aggregate","Строки без валидного вида деятельности не попадают в блоки."
"ДДС: Сводный","B15:M15","Операционная деятельность","formula","SUM rows 16:115","Изменение денег за месяц","OK_WITH_SOURCE_RISK","financial_aggregate","Operating cashflow."
"ДДС: Сводный","B116:M116","Инвестиционная деятельность","formula","SUM rows 117:126","Изменение денег за месяц","OK","financial_aggregate","Investing cashflow."
"ДДС: Сводный","B127:M127","Финансовая деятельность","formula","SUM rows 128:217","Изменение денег за месяц","OK","financial_aggregate","Financing cashflow."
"ДДС: Сводный","B218:M219","Net cashflow и конец месяца","formula","row 15 + row 116 + row 127; row 2 + row 218","Проверка сходимости","KNOWN_RECONCILIATION_DIFFS","financial_aggregate","Не включает технические/неклассифицированные строки; поэтому нужна сверка."
"ДДС: Сводный","B220:M232","Итого в локальных ДДС","formula","Начало кошелька + SUMIFS ДДС: месяц by wallet/month","Проверка сходимости","OK","financial_aggregate","Это фактический roll-forward по всем кошелькам."
"ДДС: Сводный","B233:M233","Проверка сходимости отчета и локальных ДДС","formula","B219:M219 - B232:M232","Quality gate","FAILS_IN_2023_08_11_12","financial_aggregate","Расхождения: 2023-08 270k; 2023-11 75k; 2023-12 75k."
"ДДС: Сводный","B234:M236","Проверка внутренних переводов","formula","Поступление - перевод + Выбытие - перевод","Quality gate","OK_IN_CAPTURED_MONTHS","financial_aggregate","Переводы должны взаимно обнуляться."
"Платежный календарь: Диапазон недель","A1:C53","Номера недель и даты с/по","manual+formula","A2/B2/C2 стартовые значения, далее +1/+6","Календарь row 4/5, плановые регистры week number","STALE_2023_ONLY","low","Нужно генерировать из календаря года, не хранить вручную."
"Платежный календарь: Справочник","A2:B","Импорт статей и типа движения из ДДС","formula","IMPORTRANGE(source ДДС; 'ДДС: статьи'!A:B)","Календарь article lists, validations","BROKEN_REF_IN_COPY","internal","В копии показывает #REF / требует подключение IMPORTRANGE."
"Платежный календарь: Контрагенты","A2:B","Импорт контрагентов из ДДС","formula","IMPORTRANGE(source ДДС; 'Контрагенты'!A:A)","Плановые регистры validations","BROKEN_REF_IN_COPY","high_private","Не переносить в открытые отчеты."
"Платежный календарь: Факт ДДС","C:D, E:G","Импорт фактических операций из ДДС","formula","IMPORTRANGE(source ДДС; 'ДДС: месяц'!C:D and G:I)","Календарь fact columns","BROKEN_REF_OLD_SOURCE_ID","high_private","Импорт указывает на старый spreadsheet id, не на предоставленную копию."
"Платежный календарь: Факт ДДС","A:B, H:H","Год, месяц, тип платежа/поступления","formula","C:C date, G:G article, Справочник!A:B","Calendar fact SUMIFS","BROKEN_WHEN_IMPORT_BROKEN","internal","H = VLOOKUP(article; Справочник; 2)."
"Платежный календарь: Плановый Реестр поступлений","A:E","Плановые поступления","manual","Контрагенты, Справочник, дата validation","Календарь plan inflow columns","PRIVATE_ROWS","high_private","Поля: контрагент, статья, сумма, дата, комментарий."
"Платежный календарь: Плановый Реестр поступлений","G:I","Год, месяц, номер недели плана","formula","Дата планируемого получения, Диапазон недель","Calendar plan inflow filters","OK_WITH_DATE_RANGE_RISK","internal","В приложении вычислять по календарю."
"Платежный календарь: Плановые Реестр выбытий","A:F","Плановые выбытия","manual","Контрагенты, Справочник, дата validation","Календарь plan outflow columns","PRIVATE_ROWS","high_private","Включает номер счета и комментарий; не раскрывать."
"Платежный календарь: Плановые Реестр выбытий","H:J","Год, месяц, номер недели плана","formula","Дата планируемой оплаты, Диапазон недель","Calendar plan outflow filters","OK_WITH_DATE_RANGE_RISK","internal","В приложении вычислять по календарю."
"Платежный календарь: Календарь","row 1","Флаги/чекбоксы фиксации план-факт периода","manual","BOOLEAN validation","Остаток на начало следующего периода","NEEDS_BUSINESS_RULE","internal","Нужно уточнить смысл флага при переносе."
"Платежный календарь: Календарь","rows 4:5","Начало и конец недели","formula","VLOOKUP(week number; Диапазон недель)","SUMIFS plan/fact by date interval","STALE_2023_ONLY","low","Недельные диапазоны должны строиться системно."
"Платежный календарь: Календарь","row 8","Остаток на начало недели","formula","Предыдущий конец row 112 + checkbox logic","row 112","OK_WITH_INITIAL_BALANCE_GAP","financial_aggregate","В старом календаре стартовый остаток 0; нужна связь с фактическими wallet balances."
"Платежный календарь: Календарь","rows 10:56","Поступления план/факт по статьям","formula","Плановый Реестр поступлений + Факт ДДС by week/article","row 9","BROKEN_WHEN_REFERENCE_IMPORT_BROKEN","financial_aggregate","Список статей FILTER из Справочник."
"Платежный календарь: Календарь","rows 58:110","Платежи план/факт по статьям","formula","Плановые Реестр выбытий + Факт ДДС by week/article","row 57","BROKEN_WHEN_REFERENCE_IMPORT_BROKEN","financial_aggregate","Плановые выплаты умножаются на -1."
"Платежный календарь: Календарь","rows 111:112","Изменение за неделю и остаток на конец","formula","Поступления + платежи; начало + изменение","Cash gap control","OK_WITH_IMPORT_RISK","financial_aggregate","Главная логика платежного календаря."
