bank,direction,category_native_bank,flow_type,description_signature,operation_count,amount_total_abs,first_date,last_date,legal_counterparty_count,person_or_ip_counterparty_count,rule_ids,suggested_question
tbank,credit,depositFullWithdrawal,other_inflow,3b6c335042ad,1,245700.00,2026-03-03,2026-03-03,0,1,OTHER_TBANK_CREDIT_REVIEW,Определить экономический смысл группы операций.
tbank,credit,depositFullWithdrawal,other_inflow,5243cc752aca,1,300000.00,2026-04-12,2026-04-12,0,1,OTHER_TBANK_CREDIT_REVIEW,Определить экономический смысл группы операций.
tbank,credit,depositFullWithdrawal,other_inflow,ade627d78ac8,1,248101.83,2026-04-05,2026-04-05,0,1,OTHER_TBANK_CREDIT_REVIEW,Определить экономический смысл группы операций.
tbank,credit,depositFullWithdrawal,other_inflow,d22e137cfa32,1,300000.00,2026-04-20,2026-04-20,0,1,OTHER_TBANK_CREDIT_REVIEW,Определить экономический смысл группы операций.
tbank,credit,depositFullWithdrawal,other_inflow,ef14d1f2e88f,1,234000.00,2026-04-20,2026-04-20,0,1,OTHER_TBANK_CREDIT_REVIEW,Определить экономический смысл группы операций.
tbank,credit,income,other_inflow,0b6f40e5a287,1,0.49,2026-04-20,2026-04-20,0,1,OTHER_TBANK_CREDIT_REVIEW,Определить экономический смысл группы операций.
tbank,credit,income,other_inflow,16286a7b84f5,1,2360.03,2026-04-05,2026-04-05,0,1,OTHER_TBANK_CREDIT_REVIEW,Определить экономический смысл группы операций.
tbank,credit,income,other_inflow,9b4464e43c9c,1,2401.83,2026-03-03,2026-03-03,0,1,OTHER_TBANK_CREDIT_REVIEW,Определить экономический смысл группы операций.
tbank,credit,income,other_inflow,d3648cf7c071,1,2853.70,2026-04-12,2026-04-12,0,1,OTHER_TBANK_CREDIT_REVIEW,Определить экономический смысл группы операций.
tbank,credit,income,other_inflow,fbd91eb24401,1,0.96,2026-04-20,2026-04-20,1,0,OTHER_TBANK_CREDIT_REVIEW,Определить экономический смысл группы операций.
tbank,credit,incomeLoan,loan_payment,f253692a14bb,7,49651.18,2026-02-26,2026-05-04,7,0,LOAN_OR_OVERDRAFT_ANY,"Разделить тело кредита, проценты и комиссии."
tbank,credit,incomePeople,other_inflow,1eb0b553f990,1,7200.00,2026-02-01,2026-02-01,1,0,OTHER_TBANK_CREDIT_REVIEW,Определить экономический смысл группы операций.
tbank,credit,incomePeople,other_inflow,4e5cd6855b34,2,3200.78,2026-02-11,2026-03-02,2,0,OTHER_TBANK_CREDIT_REVIEW,Определить экономический смысл группы операций.
tbank,credit,incomePeople,revenue_acquiring_tbank,05c34793e9b2,1,4668.00,2026-04-05,2026-04-05,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,09fd36e0cb60,1,58995.00,2026-03-09,2026-03-09,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,0ced91f742e0,1,11849.00,2026-02-08,2026-02-08,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,0eb7635e2e85,1,6937.00,2026-03-17,2026-03-17,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,0ed63e73f4d0,1,17000.00,2026-03-09,2026-03-09,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,1bb80684f28b,1,5534.00,2026-04-09,2026-04-09,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,1d48fd2446a2,1,9957.00,2026-04-22,2026-04-22,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,245d392a8fe3,1,2903.00,2026-03-12,2026-03-12,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,30de3fb43069,1,1365.00,2026-02-25,2026-02-25,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,3e0e560c3ee7,1,12403.00,2026-03-15,2026-03-15,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,459bace18b76,1,5640.00,2026-05-11,2026-05-11,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,5b3b61dfc47b,1,8609.00,2026-02-23,2026-02-23,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,654a113c67a3,1,7101.00,2026-03-22,2026-03-22,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,6ae9d6f58eff,1,11083.00,2026-05-17,2026-05-17,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,6d17c5d5e2ef,1,1495.00,2026-03-09,2026-03-09,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,6e64a23f9ce0,1,32201.00,2026-02-15,2026-02-15,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,71e118a52a07,1,2635.00,2026-05-05,2026-05-05,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,74b2fd71edd2,1,6143.00,2026-04-07,2026-04-07,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,88bba115b561,1,9545.00,2026-03-22,2026-03-22,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,8c7e56ce2ce1,1,1355.00,2026-02-01,2026-02-01,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,8d8e34c8fff4,1,6364.00,2026-03-22,2026-03-22,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,919a8199702f,1,9071.00,2026-02-26,2026-02-26,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,99c5801384ce,1,1159.00,2026-02-16,2026-02-16,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,ab912e3535d0,1,21998.00,2026-03-15,2026-03-15,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,b47159a8ce3c,1,3230.00,2026-04-26,2026-04-26,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,b8c80b5c7b16,1,14463.00,2026-02-08,2026-02-08,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,ba6db298be71,1,10632.00,2026-04-12,2026-04-12,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,bb1201e8e06d,1,26514.00,2026-02-23,2026-02-23,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,be8fa7a42d75,1,5869.00,2026-02-23,2026-02-23,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,c227fa710089,1,1195.00,2026-05-07,2026-05-07,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,d39ce8910ebf,1,4363.00,2026-05-17,2026-05-17,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,d510d1113f4d,1,15028.00,2026-03-29,2026-03-29,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,dbba2e0ef0ee,1,45427.00,2026-02-15,2026-02-15,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,dc409e57bf19,1,2210.00,2026-05-03,2026-05-03,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,df267cc84cfe,1,5198.00,2026-04-29,2026-04-29,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,df85b937bf34,1,11360.00,2026-03-05,2026-03-05,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,e838b7cd3927,1,3563.00,2026-03-29,2026-03-29,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,e854cba669c7,1,3113.00,2026-05-03,2026-05-03,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,edfbef1f41a2,1,28425.00,2026-02-15,2026-02-15,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,f3565bdd8082,1,4343.00,2026-02-08,2026-02-08,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,incomePeople,revenue_acquiring_tbank,f89b33ffb3d1,1,7763.00,2026-02-23,2026-02-23,1,0,REV_ACQUIRING_TBANK_INCOMEPEOPLE_TBANK,"Подтвердить, что это прямой T-Bank эквайринг, а не внутренний перевод."
tbank,credit,refundIn,refund,08e2edb164c3,1,619.98,2026-05-03,2026-05-03,1,0,REFUND_ANY,Подтвердить классификацию.
tbank,credit,refundIn,refund,b5949a14656d,1,1796.00,2026-03-25,2026-03-25,1,0,REFUND_ANY,Подтвердить классификацию.
tbank,credit,refundIn,refund,e4e91163b360,1,520.91,2026-03-03,2026-03-03,1,0,REFUND_ANY,Подтвердить классификацию.
tbank,debit,budget,tax_payment,e6efe1cdce6a,3,300.00,2026-02-25,2026-04-20,3,0,TAX_ANY,Разделить налоги с З/п и прочие налоги.
tbank,debit,cardOperation,other_outflow,012eb81dcce1,1,943.24,2026-04-30,2026-04-30,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,0431f4a6392e,1,2871.00,2026-02-15,2026-02-15,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,05014a554020,3,19101.06,2026-04-27,2026-04-27,0,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,06c575b5b283,1,116.00,2026-03-09,2026-03-09,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,090a28fac943,3,742.00,2026-02-25,2026-03-30,3,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,17bccf20f1b6,2,537.00,2026-03-09,2026-05-14,2,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,196fb26702c9,7,2612.41,2026-02-25,2026-05-18,7,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,19b299e245b7,1,1174.96,2026-02-16,2026-02-16,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,1b5a7d514d92,2,6614.68,2026-02-23,2026-04-26,2,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,1e4bfc95e8c2,1,390.00,2026-03-05,2026-03-05,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,1ec57e4bbd7b,1,4174.55,2026-04-29,2026-04-29,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,21d9aefc1478,1,36.99,2026-05-18,2026-05-18,0,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,22c33b959cbc,1,185.98,2026-05-13,2026-05-13,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,2707f9a2c82a,1,1295.70,2026-05-04,2026-05-04,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,277029900bc6,1,600.00,2026-02-11,2026-02-11,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,289c928c178a,1,628.42,2026-04-05,2026-04-05,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,317b31528c2c,1,2400.00,2026-05-14,2026-05-14,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,34a2a8c1cd90,2,4690.09,2026-03-19,2026-04-01,2,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,3643c9a490e3,9,22046.30,2026-02-15,2026-05-17,9,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,37a49f7dddda,1,946.86,2026-05-16,2026-05-16,0,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,3b218aeb758d,2,1205.00,2026-02-18,2026-03-02,2,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,444b0f7a495f,1,352.30,2026-02-16,2026-02-16,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,4ce3136d95e9,7,6373.10,2026-02-02,2026-05-18,7,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,4d1c5f5fdf11,1,148.74,2026-02-03,2026-02-03,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,4e0ad8359429,1,720.00,2026-05-13,2026-05-13,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,508c32c674e0,32,143174.40,2026-02-01,2026-05-17,32,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,521b56cee0b7,1,100.00,2026-05-14,2026-05-14,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,5337d1b58fb8,1,1199.00,2026-05-03,2026-05-03,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,586c42997f27,1,1796.00,2026-03-25,2026-03-25,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,5fa9c886be5f,3,657.94,2026-04-07,2026-05-18,3,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,61f3dff1dbf5,5,1620.00,2026-03-12,2026-05-11,5,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,64dff08ba6a3,1,550.00,2026-04-06,2026-04-06,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,68ddc1d7b0b7,1,1500.00,2026-05-12,2026-05-12,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,6a33ef342b9f,10,26932.94,2026-02-09,2026-05-18,10,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,6c5915645aa1,1,96.89,2026-05-11,2026-05-11,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,6caa33d5ef9a,2,598.00,2026-02-20,2026-03-20,2,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,7843afb530aa,5,6883.05,2026-04-30,2026-05-11,5,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,7fe1fde25668,2,4801.24,2026-05-03,2026-05-06,2,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,81cadda5f637,10,13002.00,2026-02-17,2026-05-13,10,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,8327cda77549,1,909.96,2026-04-17,2026-04-17,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,8d225bf608c4,1,550.93,2026-04-14,2026-04-14,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,8e2c25b1e089,1,2100.98,2026-05-07,2026-05-07,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,8edc420afa9b,4,5363.05,2026-02-16,2026-04-05,4,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,a178d56c775c,4,8277.89,2026-05-03,2026-05-06,4,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,a274f61f1d0b,4,6900.00,2026-02-10,2026-04-20,4,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,a8f30f081c60,1,17600.00,2026-02-25,2026-02-25,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,a9904b94b4a9,2,712.86,2026-02-23,2026-03-23,2,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,a9e7756bd2cc,1,219.00,2026-02-11,2026-02-11,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,af59f2c67e2d,1,2480.00,2026-04-02,2026-04-02,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,bda90501c037,2,1370.40,2026-04-14,2026-04-14,2,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,bf1ceb81b03c,1,4000.00,2026-03-27,2026-03-27,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,bf8b6adc2a73,1,1500.00,2026-02-06,2026-02-06,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,c21e2eb7f478,4,23331.44,2026-02-28,2026-04-26,4,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,c9894934de4e,1,450.00,2026-04-22,2026-04-22,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,cbb444a441e8,2,2211.00,2026-03-05,2026-05-13,2,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,d0d3c472a362,1,387.84,2026-03-03,2026-03-03,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,db95d3325ee0,4,19689.95,2026-02-12,2026-05-11,4,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,e0f274db8424,1,1456.65,2026-04-05,2026-04-05,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,e42f08cf9b87,1,100.00,2026-02-27,2026-02-27,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,e68028477136,1,1422.40,2026-03-09,2026-03-09,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,e6fdcb30bade,1,359.98,2026-05-13,2026-05-13,0,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,e70fb37744b1,1,2946.04,2026-02-19,2026-02-19,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,f19708504988,2,1207.73,2026-03-22,2026-04-06,2,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,f7e74c62c2f6,3,5500.00,2026-03-04,2026-05-18,3,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,fa2f4e8e8690,1,58.00,2026-05-17,2026-05-17,1,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,cardOperation,other_outflow,fe9a653402e6,9,45000.00,2026-02-02,2026-05-17,9,0,TBANK_CARD_OPERATION_REVIEW,Определить экономический смысл группы операций.
tbank,debit,contragentOutcome,supplier_payment,051f4889a089,1,51000.00,2026-04-27,2026-04-27,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
tbank,debit,contragentOutcome,supplier_payment,15b13978a902,1,96798.60,2026-02-24,2026-02-24,0,1,SUPPLIER_PAYMENT_TBANK_CONTRAGENT,Указать статью ДДС/ОПиУ для группы платежей этому контрагенту.
